dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.8232
0,3,1.6789
0,4,1.9529
0,5,0.9183
1,0,3.0
1,1,2.9733
1,2,2.7957
1,3,1.5219
2,0,2.0
2,1,2.0
2,2,1.9938
2,3,1.9503
2,4,0.0
2,5,0.0
2,6,-1.0
2,7,-1.0
2,8,-1.0
2,9,-1.0
2,10,-1.0
3,0,2.2257
3,1,2.1809
3,2,2.0
3,3,0.9544
4,0,2.0
4,1,1.9986
4,2,1.8787
4,3,1.8838
4,4,1.8046
5,0,2.0
5,1,1.8232
5,2,1.8803
5,3,1.3328
6,0,2.0
6,1,1.0
6,2,0.5032
6,3,1.0
6,4,1.0
6,5,0.971
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
7,0,2.0
7,1,1.9362
7,2,0.998
7,3,1.0
7,4,0.998
7,5,0.0
7,6,0.0
7,7,0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.2806
8,4,0.0
9,0,2.0
9,1,2.0
9,2,1.7396
9,3,1.9503
9,4,1.5832
9,5,1.5849
9,6,1.4834
9,7,1.5664
9,8,1.3486
9,9,1.0
9,10,0.9774
9,11,0.998
9,12,0.8631
10,0,2.0
10,1,2.0
10,2,1.5849
10,3,1.5774
10,4,1.0
10,5,1.0
10,6,1.0
10,7,1.0
10,8,1.0
10,9,1.0
10,10,1.0
10,11,1.0
10,12,0.0
10,13,0.0
11,0,1.9938
11,1,2.0
11,2,1.519
11,3,1.5849
11,4,1.4834
11,5,1.5697
11,6,1.2285
11,7,1.531
11,8,1.5831
11,9,0.9544
12,0,2.0
12,1,2.0
12,2,1.8803
12,3,1.3995
12,4,1.2345
12,5,0.0
13,0,2.0
13,1,1.5849
13,2,1.5849
13,3,1.5849
13,4,1.5774
13,5,1.2988
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,0.0
14,4,0.0
15,0,2.3208
15,1,1.5849
15,2,1.5849
15,3,1.5849
15,4,1.5849
15,5,0.9911
16,0,1.9938
16,1,2.0
16,2,2.0
16,3,1.9503
16,4,1.5546
16,5,1.0
16,6,0.6501
17,0,2.5019
17,1,2.6561
17,2,2.0
17,3,1.921
17,4,1.745
17,5,0.998
17,6,0.0
18,0,2.0
18,1,2.0
18,2,1.4294
18,3,1.5849
18,4,1.5849
18,5,1.5849
18,6,1.3486
18,7,0.7794
19,0,2.0
19,1,1.0
19,2,1.0
19,3,1.0
19,4,1.0
19,5,1.0
19,6,0.0
20,0,2.0
20,1,1.0
20,2,1.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,0.0
21,0,2.0
21,1,1.9849
21,2,1.8803
21,3,1.6663
21,4,1.6767
21,5,1.5219
21,6,0.0
22,0,2.0
22,1,2.0
22,2,1.9986
