dialogue_id,intra_dialogue_id,entropy
0,0,2.7488
0,1,1.8257
0,2,1.8553
0,3,1.6577
0,4,1.3516
0,5,1.4489
1,0,2.9127
1,1,2.4663
1,2,1.5774
1,3,1.5849
2,0,2.7606
2,1,1.3486
2,2,1.0
2,3,1.0
2,4,1.0
2,5,0.9544
2,6,-0.0
2,7,-0.0
2,8,0
2,9,0
2,10,0
3,0,2.0
3,1,1.8232
3,2,1.0
3,3,0.7219
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,1.5849
5,1,1.0
5,2,-0.0
5,3,-0.0
6,0,2.0
6,1,1.3486
6,2,1.4834
6,3,1.0
6,4,1.0
6,5,1.0
6,6,1.0
6,7,1.0
6,8,1.0
6,9,1.0
6,10,1.0
7,0,1.9938
7,1,1.3922
7,2,1.4834
7,3,1.3789
7,4,0.6501
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,1.921
8,1,1.5849
8,2,1.4855
8,3,0.8631
8,4,-0.0
9,0,2.8859
9,1,1.8232
9,2,1.6499
9,3,1.7899
9,4,1.361
9,5,1.3486
9,6,1.3516
9,7,1.3486
9,8,1.4834
9,9,1.4834
9,10,1.1489
9,11,1.5774
9,12,1.4355
10,0,2.2977
10,1,1.4834
10,2,1.0
10,3,1.0
10,4,1.0
10,5,1.0
10,6,0.9911
10,7,1.0
10,8,0.8631
10,9,0.6501
10,10,-0.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,0,2.4177
11,1,2.0
11,2,1.8257
11,3,1.5766
11,4,1.4355
11,5,-0.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
12,0,1.9544
12,1,1.5849
12,2,1.5849
12,3,-0.0
12,4,-0.0
12,5,0
13,0,1.9928
13,1,2.0
13,2,1.9086
13,3,1.8257
13,4,1.0
13,5,0.8631
13,6,0.6501
13,7,0.9544
13,8,1.0
13,9,0.6501
14,0,2.0
14,1,1.0
14,2,1.0
14,3,0.9544
14,4,-0.0
15,0,2.531
15,1,1.5774
15,2,1.5726
15,3,1.5774
15,4,1.5774
15,5,1.4355
16,0,2.863
16,1,2.0
16,2,1.921
16,3,1.9938
16,4,1.9714
16,5,1.921
16,6,1.7926
17,0,2.9911
17,1,1.9709
17,2,1.7604
17,3,1.5766
17,4,1.0
17,5,-0.0
17,6,-0.0
18,0,1.8232
18,1,1.9938
18,2,1.8262
18,3,1.9938
18,4,1.5849
18,5,1.5849
18,6,1.5774
18,7,1.5766
19,0,1.9938
19,1,1.5774
19,2,1.4834
19,3,1.5774
19,4,1.0
19,5,1.0
19,6,-0.0
20,0,2.0
20,1,1.5486
20,2,1.0
20,3,1.0
20,4,0.9911
20,5,1.0
20,6,1.0
20,7,0.8631
21,0,2.3489
21,1,1.5849
21,2,1.5849
21,3,1.5849
21,4,1.3486
21,5,-0.0
21,6,0
22,0,2.1805
22,1,1.9911
22,2,1.9938
22,3,1.5849
22,4,0.9911
22,5,-0.0
22,6,-0.0
23,0,2.2577
23,1,1.9938
23,2,1.5849
23,3,1.0
23,4,0.8631
23,5,1.0
23,6,1.0
23,7,0.8631
23,8,-0.0
23,9,-0.0
23,10,-0.0
24,0,2.0
24,1,1.4834
24,2,1.3486
24,3,1.0
24,4,1.0
24,5,1.0
24,6,1.0
24,7,1.0
24,8,0.9911
24,9,1.0
25,0,2.0
25,1,1.5849
25,2,1.0
25,3,1.0
25,4,1.0
25,5,1.0
25,6,1.0
25,7,1.0
25,8,-0.0
26,0,1.9544
26,1,1.3486
26,2,1.0
26,3,-0.0
26,4,-0.0
26,5,-0.0
26,6,-0.0
26,7,-0.0
27,0,2.0
27,1,1.9938
27,2,1.9938
27,3,1.5849
27,4,1.4834
27,5,1.5774
27,6,1.4834
27,7,1.5849
27,8,1.5726
27,9,0.9911
27,10,0.9544
27,11,0
28,0,2.0
28,1,2.0
28,2,1.2988
28,3,1.5486
28,4,-0.0
29,0,2.0
29,1,1.5726
29,2,-0.0
30,0,2.0
30,1,2.0
30,2,1.8091
30,3,1.5849
31,0,2.0
31,1,1.5849
31,2,1.0
31,3,-0.0
31,4,-0.0
32,0,2.0
32,1,1.8257
32,2,1.9086
32,3,1.3486
32,4,1.0
32,5,0.7219
33,0,1.9938
33,1,1.8232
33,2,1.5849
33,3,1.5486
33,4,1.0
33,5,0.9544
33,6,0.9544
33,7,-0.0
34,0,2.7985
34,1,1.9911
34,2,1.6499
34,3,1.8632
34,4,1.6499
34,5,0.8631
34,6,0.9544
34,7,0.6501
34,8,-0.0
35,0,2.6383
35,1,1.0
35,2,0.8631
35,3,0.9911
35,4,1.0
35,5,1.0
35,6,-0.0
35,7,-0.0
35,8,0
35,9,0
35,10,0
36,0,1.9709
36,1,1.5849
36,2,1.5766
36,3,1.5849
37,0,2.0
37,1,2.0
37,2,2.0
37,3,1.921
37,4,1.8232
37,5,1.6499
37,6,1.8585
38,0,1.921
38,1,1.5726
38,2,1.0
38,3,-0.0
38,4,-0.0
39,0,2.3489
39,1,2.466
39,2,1.8632
39,3,1.5849
39,4,1.5849
39,5,0.9911
39,6,1.0
39,7,0.9183
40,0,2.0
40,1,1.5849
40,2,1.5849
40,3,1.5849
40,4,1.5849
40,5,1.5849
40,6,1.5774
40,7,1.4855
41,0,2.0
41,1,-0.0
41,2,-0.0
42,0,1.9709
42,1,2.0
42,2,1.8232
42,3,1.0
42,4,-0.0
43,0,1.5849
43,1,1.5849
43,2,1.5849
43,3,1.5766
43,4,1.0
43,5,1.0
43,6,1.0
43,7,1.0
43,8,1.0
43,9,0.7219
44,0,2.0
44,1,1.921
44,2,1.8632
44,3,1.5849
44,4,1.5486
44,5,1.5219
44,6,0
45,0,2.0
45,1,2.0
45,2,1.0
45,3,1.0
45,4,0.9544
45,5,1.0
45,6,1.0
45,7,1.0
45,8,0.9911
45,9,1.0
45,10,1.0
45,11,1.0
45,12,0.9911
45,13,1.0
45,14,0.9911
45,15,0.9911
45,16,0.9852
46,0,1.9938
46,1,1.9238
46,2,1.7841
46,3,1.0
46,4,0.6501
46,5,-0.0
46,6,-0.0
47,0,1.0
47,1,1.0
47,2,1.0
47,3,1.0
47,4,1.0
47,5,0.9544
47,6,-0.0
48,0,2.8744
48,1,1.9938
48,2,1.8232
48,3,1.4834
48,4,1.0
48,5,0.6501
49,0,2.0
49,1,1.5849
49,2,1.5849
49,3,1.1489
50,0,2.0
50,1,1.9938
50,2,2.0
50,3,1.9709
50,4,1.5849
50,5,1.3486
50,6,0.9911
51,0,2.9623
51,1,2.0
51,2,2.0
51,3,2.0
51,4,1.2988
51,5,-0.0
51,6,-0.0
52,0,3.0
52,1,2.0
52,2,1.9911
52,3,2.0
52,4,1.4855
52,5,1.1489
53,0,2.0
53,1,1.6499
53,2,1.361
53,3,1.5849
53,4,1.371
54,0,2.0
54,1,1.0
54,2,0.8631
54,3,0.9852
54,4,1.0
54,5,0.9544
54,6,1.0
54,7,0.9911
54,8,0.9544
54,9,0.8631
54,10,0.9911
54,11,1.0
54,12,-0.0
55,0,1.8091
55,1,1.5486
55,2,1.0
55,3,1.0
55,4,1.0
55,5,0
55,6,0
55,7,0
55,8,0
55,9,0
55,10,0
55,11,0
56,0,2.4877
56,1,1.9709
56,2,1.9503
56,3,1.5849
56,4,-0.0
56,5,-0.0
57,0,2.0
57,1,1.0
57,2,1.0
57,3,0.7219
57,4,1.0
57,5,1.0
57,6,1.0
57,7,0.9911
57,8,1.0
57,9,0.6501
57,10,-0.0
58,0,2.0
58,1,2.0
58,2,1.3486
58,3,1.0
58,4,1.0
58,5,0
58,6,0
