dialogue_id,intra_dialogue_id,entropy
0,0,2.9536
0,1,1.5486
0,2,-0.0
0,3,-0.0
0,4,-0.0
0,5,-0.0
0,6,-0.0
0,7,-0.0
0,8,-0.0
1,0,2.7471
1,1,2.0386
1,2,1.5849
1,3,-0.0
2,0,2.769
2,1,1.5486
2,2,1.0
2,3,-0.0
2,4,-0.0
2,5,-0.0
3,0,2.9364
3,1,2.0
3,2,1.5849
3,3,0.9911
3,4,-0.0
3,5,-0.0
4,0,1.921
4,1,1.5849
4,2,1.0
4,3,0.8631
4,4,0.6501
5,0,1.5849
5,1,1.3486
5,2,0.9183
6,0,2.0
6,1,1.5849
6,2,1.0
6,3,-0.0
7,0,1.5486
7,1,1.5486
7,2,1.0
7,3,0.8631
8,0,2.0
8,1,1.9938
8,2,1.9714
8,3,1.9928
9,0,2.8225
9,1,1.5849
9,2,1.5546
9,3,-0.0
9,4,0
9,5,0
9,6,0
10,0,2.2977
10,1,1.3486
10,2,1.4834
10,3,1.1489
10,4,-0.0
11,0,2.1809
11,1,2.0
11,2,1.5849
11,3,1.5849
11,4,1.4834
11,5,1.1489
12,0,2.0
12,1,1.5849
12,2,0.9544
12,3,1.0
12,4,1.0
13,0,2.0
13,1,1.5849
13,2,-0.0
14,0,1.921
14,1,2.0
14,2,1.9938
14,3,-0.0
15,0,2.3427
15,1,1.8232
15,2,1.6499
15,3,1.5488
16,0,2.9213
16,1,2.0
16,2,1.8542
16,3,-0.0
17,0,2.0
17,1,2.0
17,2,1.5486
17,3,-0.0
18,0,2.9812
18,1,1.8257
18,2,1.9911
18,3,1.4855
18,4,1.3486
18,5,0.9911
18,6,-0.0
18,7,-0.0
18,8,-0.0
19,0,1.9709
19,1,1.5849
19,2,1.5849
19,3,1.5849
19,4,1.4834
19,5,1.5486
19,6,1.4855
20,0,2.0
20,1,1.8232
20,2,1.3486
20,3,1.0
20,4,-0.0
21,0,2.5776
21,1,1.5849
21,2,1.5395
21,3,1.5849
21,4,1.4834
21,5,0
22,0,2.0
22,1,2.0
22,2,1.7841
22,3,-0.0
23,0,2.0
23,1,1.5774
23,2,0.8631
24,0,1.4834
24,1,1.5849
24,2,1.5486
24,3,1.0
24,4,1.0
25,0,2.7644
25,1,1.9714
25,2,1.5774
25,3,1.0
25,4,1.0
25,5,1.0
25,6,1.0
25,7,0.6501
26,0,1.0
26,1,0.971
26,2,0
26,3,0
26,4,0
26,5,0
27,0,2.1805
27,1,1.5766
27,2,-0.0
28,0,2.1809
28,1,1.8232
28,2,1.0
28,3,-0.0
29,0,2.6263
29,1,1.9709
29,2,-0.0
30,0,1.9938
30,1,1.0
30,2,1.0
30,3,0.6501
30,4,-0.0
31,0,2.0
31,1,1.5849
31,2,1.0
31,3,-0.0
32,0,2.0
32,1,1.5849
32,2,1.4949
33,0,2.0
33,1,1.5849
33,2,1.5486
33,3,1.3486
33,4,0.9544
34,0,2.7644
34,1,1.9938
34,2,1.5849
34,3,1.0
35,0,1.5849
35,1,1.5849
35,2,1.0
35,3,1.0
35,4,-0.0
35,5,0
36,0,1.9709
36,1,1.5849
36,2,1.5849
36,3,1.0
36,4,1.0
36,5,-0.0
37,0,2.0
37,1,2.0
37,2,1.6499
37,3,1.5488
38,0,2.0
38,1,1.9938
38,2,-0.0
39,0,2.0
39,1,2.0
39,2,1.4949
39,3,1.4834
39,4,1.5
40,0,2.9713
40,1,2.1805
40,2,1.8352
40,3,1.8464
40,4,0
40,5,0
41,0,2.0
41,1,1.761
41,2,-0.0
41,3,-0.0
42,0,2.0
42,1,1.0
42,2,1.0
42,3,-0.0
43,0,1.8232
43,1,1.8232
43,2,1.361
43,3,1.0
43,4,1.0
44,0,2.0
44,1,2.0
44,2,1.5774
44,3,1.5849
44,4,1.5849
44,5,1.5774
44,6,1.5849
45,0,2.7185
45,1,1.8257
45,2,1.4855
45,3,-0.0
46,0,2.0
46,1,1.8464
46,2,1.0
46,3,1.0
46,4,0.9183
47,0,1.3486
47,1,0.9544
48,0,2.0
48,1,1.5849
48,2,1.0
48,3,-0.0
49,0,2.0
49,1,1.5849
49,2,-0.0
50,0,2.0
50,1,-0.0
51,0,2.5049
51,1,1.5849
51,2,-0.0
52,0,2.9089
52,1,2.0
52,2,-0.0
53,0,2.0
53,1,1.9709
53,2,1.8257
53,3,-0.0
54,0,2.0
54,1,2.0
54,2,2.0
54,3,1.8257
54,4,-0.0
55,0,2.8168
55,1,1.9911
55,2,1.5486
55,3,-0.0
56,0,1.9938
56,1,2.0
56,2,1.3486
56,3,1.5849
56,4,-0.0
57,0,2.1645
57,1,1.0
57,2,-0.0
58,0,2.0
58,1,1.9911
58,2,1.0
58,3,-0.0
58,4,-0.0
59,0,2.5047
59,1,1.5849
59,2,1.5849
59,3,1.0
59,4,1.0
60,0,1.9938
60,1,1.5849
60,2,1.5486
60,3,-0.0
61,0,2.9235
61,1,2.0
61,2,1.8232
61,3,1.4834
61,4,1.0
61,5,1.0
61,6,1.0
62,0,2.0
62,1,1.888
62,2,2.0
62,3,1.9709
62,4,-0.0
63,0,2.0
63,1,1.5849
63,2,1.5849
63,3,1.5849
63,4,1.5774
63,5,0.6501
63,6,0.6501
64,0,1.921
64,1,-0.0
65,0,1.8232
65,1,1.0
65,2,1.0
65,3,0.6501
65,4,1.0
65,5,0
66,0,2.9567
66,1,1.921
66,2,1.4949
66,3,1.0
66,4,0.9544
66,5,0.9911
66,6,-0.0
67,0,2.0
67,1,1.9709
67,2,1.8232
67,3,1.9086
67,4,1.5
68,0,2.7605
68,1,2.1809
68,2,2.0421
68,3,-0.0
69,0,2.2577
69,1,1.8262
69,2,-0.0
70,0,2.7203
70,1,1.8257
70,2,-0.0
70,3,-0.0
70,4,-0.0
71,0,2.5667
71,1,2.0
71,2,1.9238
71,3,1.9808
72,0,1.9709
72,1,1.5774
72,2,1.0
72,3,-0.0
73,0,2.7163
73,1,1.9709
