distance,mean,std
0,0.2713448138648749,2.043325
1,0.5413304992720701,1.6000818181818177
2,0.7006860333041911,0.9076977272727272
3,0.6207791050509192,0.5411729411764706
4,0.47165555708260426,0.24284285714285717
5,0.4163594614579596,0.18157076923076923
6,0.37958343933604616,0.12897999999999998
7,0.3455650128209416,0.10885625
8,0.32237152985957057,0.09394400000000001
9,0.3643764705882353,0.09109411764705883
10,0.26646935501059654,0.07692307692307693
11,0.3499271061118826,0.14285714285714285
12,0.4,0.2
13,0.4714045207910317,0.3333333333333333
14,0.32505,0.32505
15,0.0,0.0
16,0.0,0.0
