dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,2.0
0,3,1.9742
0,4,1.9539
0,5,1.9127
0,6,1.491
0,7,0.6501
0,8,0.9183
1,0,2.0
1,1,2.0
1,2,2.0
1,3,1.0
2,0,2.0
2,1,2.0
2,2,1.9849
2,3,1.921
2,4,1.9938
2,5,0.0
3,0,3.0
3,1,2.2977
3,2,1.8232
3,3,1.9849
3,4,1.8838
3,5,1.7306
4,0,2.2285
4,1,2.5377
4,2,2.5296
4,3,2.5739
4,4,0.9183
5,0,2.0
5,1,1.5849
5,2,0.0
6,0,2.0
6,1,1.5849
6,2,1.5832
6,3,0.4395
7,0,2.0
7,1,2.0
7,2,1.0
7,3,0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.8907
9,0,2.0
9,1,1.8787
9,2,1.2285
9,3,1.5831
9,4,1.3486
9,5,1.4366
9,6,0.6501
10,0,2.0
10,1,2.0
10,2,1.5849
10,3,0.0
10,4,0.0
11,0,2.0
11,1,2.0
11,2,1.3328
11,3,1.2285
11,4,1.5849
11,5,0.0
12,0,2.0
12,1,2.0
12,2,1.9774
12,3,0.0
12,4,0.0
13,0,2.0
13,1,1.5849
13,2,0.7794
14,0,1.9986
14,1,1.9709
14,2,2.0
14,3,1.0
15,0,2.0
15,1,2.0
15,2,1.9986
15,3,1.9241
16,0,2.0
16,1,2.0
16,2,1.9941
16,3,0.0
17,0,2.0
17,1,2.0
17,2,1.5849
17,3,0.0
18,0,2.8078
18,1,2.7713
18,2,1.9849
18,3,1.5849
18,4,1.5849
18,5,1.0
18,6,0.469
18,7,0.8631
18,8,0.0
19,0,2.0
19,1,1.5774
19,2,1.5774
19,3,1.5849
19,4,1.5664
19,5,1.4834
19,6,0.0
20,0,2.0
20,1,2.0
20,2,2.0
20,3,1.0
20,4,0.0
21,0,2.0
21,1,1.998
21,2,1.7412
21,3,1.2285
21,4,0.4395
21,5,0.4395
22,0,2.1167
22,1,2.0
22,2,1.8205
22,3,0.9183
23,0,2.0
23,1,1.8232
23,2,1.5219
24,0,2.643
24,1,2.4132
24,2,2.0
24,3,1.8803
24,4,0.8166
25,0,2.8061
25,1,2.5801
25,2,2.0
25,3,1.8803
25,4,1.2345
25,5,1.4949
25,6,0.998
25,7,0.0
26,0,2.1809
26,1,2.0
26,2,1.2285
26,3,1.0
26,4,0.0
26,5,0.0
27,0,2.4157
27,1,2.1809
27,2,1.3328
28,0,2.0
28,1,2.0
28,2,1.9986
28,3,1.579
29,0,2.0
29,1,2.0
29,2,1.2419
30,0,2.0
30,1,1.5832
30,2,1.5664
30,3,1.5832
30,4,1.0948
31,0,2.0
31,1,1.998
31,2,2.0
31,3,0.4395
32,0,2.0
32,1,1.5849
32,2,1.5849
33,0,2.0
33,1,2.0
33,2,1.0
33,3,1.0
33,4,0.0
34,0,2.2256
