dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,2.0
0,3,1.9772
0,4,1.8257
0,5,1.9938
0,6,1.7604
0,7,-0.0
0,8,-0.0
1,0,2.0
1,1,2.0
1,2,2.0
1,3,1.0
2,0,1.9938
2,1,2.0
2,2,2.0
2,3,1.8232
2,4,2.0
2,5,-0.0
3,0,3.0
3,1,2.0
3,2,1.9938
3,3,1.9714
3,4,1.921
3,5,1.2988
4,0,2.1809
4,1,1.9938
4,2,1.9938
4,3,2.0
4,4,0.6501
5,0,2.0
5,1,1.8091
5,2,1.1489
6,0,2.0
6,1,1.5849
6,2,1.5849
6,3,0.6501
7,0,2.0
7,1,2.0
7,2,1.0
7,3,-0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.6499
9,0,2.0
9,1,1.9938
9,2,1.888
9,3,1.9938
9,4,1.7604
9,5,1.6499
9,6,0.8631
10,0,2.0
10,1,2.0
10,2,1.5849
10,3,-0.0
10,4,-0.0
11,0,2.0
11,1,2.0
11,2,1.0
11,3,0.9544
11,4,0.9911
11,5,-0.0
12,0,2.0
12,1,2.0
12,2,1.9714
12,3,-0.0
12,4,-0.0
13,0,2.0
13,1,1.5849
13,2,0.6501
14,0,1.9938
14,1,2.0
14,2,2.0
14,3,1.0
15,0,2.0
15,1,2.0
15,2,1.9544
15,3,1.8257
16,0,2.0
16,1,2.0
16,2,1.9938
16,3,-0.0
17,0,2.0
17,1,2.0
17,2,1.8257
17,3,-0.0
18,0,2.8037
18,1,2.7591
18,2,2.0
18,3,1.5774
18,4,1.5849
18,5,1.0
18,6,0.8631
18,7,0.6501
18,8,-0.0
19,0,2.0
19,1,1.5849
19,2,1.5774
19,3,1.3486
19,4,1.5766
19,5,1.3486
19,6,-0.0
20,0,2.0
20,1,2.0
20,2,2.0
20,3,0.8631
20,4,-0.0
21,0,2.0
21,1,2.0
21,2,1.8257
21,3,0.9911
21,4,0.8631
21,5,0.6501
22,0,2.2577
22,1,2.0
22,2,1.3486
22,3,-0.0
23,0,2.0
23,1,1.921
23,2,1.3486
24,0,2.5307
24,1,2.2977
24,2,1.9938
24,3,1.5849
24,4,1.1489
25,0,2.8004
25,1,2.5803
25,2,2.0
25,3,1.9714
25,4,1.5486
25,5,1.5774
25,6,1.4949
25,7,-0.0
26,0,2.0
26,1,2.0
26,2,1.3486
26,3,1.0
26,4,-0.0
26,5,-0.0
27,0,2.3219
27,1,2.0
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,2.0
28,3,0.9544
29,0,2.0
29,1,2.0
29,2,1.6767
30,0,2.0
30,1,1.8232
30,2,1.9238
30,3,1.9938
30,4,1.4355
31,0,2.0
31,1,1.9772
31,2,2.0
31,3,0.8631
32,0,2.0
32,1,1.9709
32,2,1.5486
33,0,2.0
33,1,2.0
33,2,1.4834
33,3,1.5774
