distance,mean,std
0,0.2713448138648749,2.043325
1,0.5163723630744325,1.6184735632183906
2,0.6915079613429566,0.9397341176470587
3,0.6259517550168727,0.5973987012987012
4,0.49806480884833787,0.28331666666666666
5,0.45430333353085645,0.22696346153846153
6,0.44960872397557544,0.191727027027027
7,0.4426159767106314,0.19352222222222223
8,0.42916916789834314,0.18066153846153848
9,0.46457999999999994,0.15486
10,0.33071891388307384,0.125
11,0.4714045207910317,0.3333333333333333
12,0.0,1.0
13,0.0,1.0
14,0.0,0.6501
15,nan,nan
16,nan,nan
