distance,std,mean
0,0.2521571780725514,2.0521931818181818
1,0.5103036168123325,1.647506896551724
2,0.674141215633418,0.9649545454545454
3,0.6352840152558761,0.6256345679012346
4,0.5490103755779885,0.41830277777777775
5,0.544350285597937,0.40434166666666665
6,0.4427663404606293,0.20734285714285716
7,0.4156798099691637,0.211372
8,0.43018897763076175,0.143395
9,0.3473176035779097,0.09632857142857143
10,0.40458,0.13486
11,0.4,0.2
12,0.4714045207910317,0.3333333333333333
13,0.5,0.5
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
