distance,mean,std
0,0.31675579667957715,2.1752875
1,0.4878258515718257,1.9067886363636362
2,0.6651408715165359,1.6730613636363636
3,0.7418494610495552,1.413714117647059
4,0.7617364562125308,1.1979896103896104
5,0.7602428378248002,0.9908723076923077
6,0.7539376641395923,0.6672690909090908
7,0.7624170231234594,0.6007687500000001
8,0.7043530888865328,0.489724
9,0.6157229297006646,0.44528235294117646
10,0.607417327854182,0.43735384615384615
11,0.43801410610031394,0.3485
12,0.36732,0.18366
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
