dialogue_id,intra_dialogue_id,entropy
0,0,1.8955
0,1,2.0
0,2,1.5849
0,3,1.7921
0,4,1.7717
0,5,1.1603
1,0,2.9959
1,1,2.0948
1,2,1.4331
1,3,1.154
2,0,1.9899
2,1,1.8955
2,2,1.0
2,3,1.0
2,4,1.0
2,5,1.0365
2,6,1.371
2,7,1.6855
2,8,1.7063
2,9,1.371
2,10,-0.0
3,0,2.0
3,1,2.7696
3,2,1.6994
3,3,-0.0
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,1.0
5,3,-0.0
6,0,2.0
6,1,1.0
6,2,1.159
6,3,0.8813
6,4,1.0
6,5,0.7219
6,6,1.0
6,7,-0.0
6,8,-0.0
6,9,0.8813
6,10,1.0
7,0,2.0
7,1,1.957
7,2,1.0
7,3,0.971
7,4,0.469
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,1.0
8,3,1.2556
8,4,1.4367
9,0,2.0
9,1,2.0
9,2,0.971
9,3,1.0
9,4,1.4367
9,5,1.0
9,6,1.0
9,7,0.971
9,8,1.0
9,9,1.0
9,10,0.8813
9,11,0.7219
9,12,-0.0
10,0,2.1623
10,1,2.0
10,2,1.361
10,3,1.3995
10,4,0.971
10,5,0.7219
10,6,0.469
10,7,-0.0
10,8,-0.0
10,9,0.7
10,10,-0.0
10,11,-0.0
10,12,1.1568
10,13,0.8813
11,0,2.0
11,1,2.0
11,2,1.4331
11,3,1.0
11,4,1.5301
11,5,1.57
11,6,0.971
11,7,1.571
11,8,1.6882
11,9,1.1568
12,0,2.0
12,1,1.957
12,2,1.7219
12,3,1.6855
12,4,1.4747
12,5,1.5301
13,0,2.2422
13,1,2.6785
13,2,1.571
13,3,0.9219
13,4,0.7219
13,5,2.1815
13,6,0.8813
13,7,0.7219
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,-0.0
14,4,-0.0
15,0,2.0
15,1,1.0
15,2,1.0
15,3,1.2556
15,4,1.0
15,5,0.971
16,0,2.0
16,1,2.0
16,2,1.9899
16,3,1.2868
16,4,1.2868
16,5,1.571
16,6,1.2382
17,0,3.0
17,1,2.0
17,2,1.8787
17,3,1.5849
17,4,1.371
17,5,1.1568
17,6,0.469
18,0,1.0
18,1,1.469
18,2,1.4367
18,3,1.57
18,4,0.971
18,5,1.0
18,6,1.1471
18,7,1.8464
19,0,1.7921
19,1,1.7921
19,2,1.0
19,3,1.8464
19,4,1.6855
19,5,1.0
19,6,-0.0
20,0,1.5849
20,1,2.4023
20,2,-0.0
20,3,-0.0
20,4,0.469
20,5,1.1568
20,6,-0.0
20,7,-0.0
21,0,2.0
21,1,2.0
21,2,1.9899
21,3,-0.0
21,4,1.7921
21,5,2.2796
21,6,0.8476
22,0,2.0
22,1,2.0
22,2,1.8955
22,3,0.971
22,4,-0.0
22,5,-0.0
22,6,0.469
23,0,2.0
23,1,2.0
23,2,1.7253
23,3,1.4331
23,4,1.5849
23,5,1.2868
23,6,1.0
23,7,1.361
23,8,1.0
23,9,1.8257
23,10,1.6303
24,0,1.5849
24,1,1.8705
24,2,1.4331
24,3,1.2517
24,4,1.154
24,5,1.5219
24,6,2.4465
24,7,0.7219
24,8,0.7219
24,9,-0.0
25,0,1.5849
25,1,1.5849
25,2,1.8476
25,3,0.971
25,4,1.0
25,5,-0.0
25,6,2.1815
25,7,1.9166
25,8,-0.0
26,0,2.0
26,1,1.0
26,2,1.541
26,3,-0.0
26,4,-0.0
26,5,0.7219
26,6,-0.0
26,7,1.5097
27,0,2.0
27,1,2.0
27,2,2.0
27,3,0.971
27,4,1.5671
27,5,1.7253
27,6,1.361
27,7,1.1568
27,8,0.971
27,9,0.8813
27,10,0.8813
27,11,-0.0
28,0,2.8021
28,1,2.0
28,2,2.7919
28,3,1.7738
28,4,1.5671
29,0,2.0
29,1,1.0
29,2,0.8476
30,0,2.0
30,1,2.0
30,2,0.7
30,3,0.8476
31,0,2.0
31,1,1.7921
31,2,1.5849
31,3,1.0
31,4,-0.0
32,0,2.0
32,1,1.0
32,2,1.971
32,3,1.469
32,4,0.7219
32,5,-0.0
33,0,2.0
33,1,2.0
33,2,1.4331
33,3,0.469
33,4,0.7219
33,5,0.971
33,6,0.469
33,7,1.6048
34,0,2.0
34,1,1.0
34,2,1.0
34,3,0.7219
34,4,0.8813
34,5,0.469
34,6,-0.0
34,7,-0.0
34,8,1.0
35,0,2.0
35,1,2.0
35,2,1.8813
35,3,1.6212
35,4,2.4547
35,5,0.7
35,6,2.1065
35,7,0.7
35,8,-0.0
35,9,-0.0
35,10,-0.0
36,0,2.0
36,1,2.0
36,2,1.3362
36,3,-0.0
37,0,2.0
37,1,2.0
37,2,2.0
37,3,0.9853
37,4,1.371
37,5,0.469
37,6,0.469
38,0,2.0
38,1,2.8021
38,2,2.6075
38,3,2.4928
38,4,-0.0
39,0,2.0
39,1,2.0
39,2,2.5092
39,3,2.0382
39,4,1.2838
39,5,1.8955
39,6,1.971
39,7,-0.0
40,0,2.0
40,1,1.5849
40,2,1.2868
40,3,1.2868
40,4,1.7864
40,5,1.5849
40,6,1.0
40,7,1.361
41,0,2.0
41,1,0.7219
41,2,2.2841
42,0,1.469
42,1,2.0
42,2,1.469
42,3,1.0
42,4,-0.0
43,0,2.0
43,1,2.0
43,2,1.971
43,3,0.469
43,4,1.7219
43,5,1.371
43,6,1.957
43,7,1.5097
43,8,1.1603
43,9,-0.0
44,0,2.0
44,1,2.469
44,2,1.5849
44,3,1.9872
44,4,1.571
44,5,1.5849
44,6,-0.0
45,0,2.0
45,1,2.0
45,2,1.361
45,3,0.469
45,4,-0.0
45,5,0.8476
45,6,1.8644
45,7,1.8362
45,8,2.4485
45,9,1.4747
45,10,1.5219
45,11,1.8464
45,12,2.3568
45,13,1.0
45,14,1.8464
45,15,1.8395
45,16,-0.0
46,0,2.0
46,1,2.468
46,2,1.8464
46,3,1.9393
46,4,1.969
46,5,1.571
46,6,2.7953
47,0,1.4331
47,1,2.361
47,2,1.5667
47,3,1.57
47,4,1.2868
47,5,1.2955
47,6,1.3568
48,0,2.2422
48,1,2.0
48,2,2.0
48,3,1.5849
48,4,1.2948
48,5,-0.0
49,0,1.6751
49,1,2.0
49,2,2.4894
49,3,-0.0
50,0,2.0
50,1,2.0
50,2,1.971
50,3,1.469
50,4,1.5219
50,5,1.6855
50,6,1.1603
51,0,1.9899
51,1,2.0
51,2,1.7458
51,3,1.9899
51,4,1.8245
51,5,0.971
51,6,-0.0
52,0,1.9899
52,1,1.9219
52,2,1.9406
52,3,1.9219
52,4,1.4855
52,5,1.0392
53,0,2.0
53,1,2.0
53,2,1.0
53,3,-0.0
53,4,-0.0
54,0,2.0
54,1,1.0
54,2,2.5219
54,3,2.2392
54,4,1.7797
54,5,2.6464
54,6,0.9219
54,7,2.2781
54,8,1.9545
54,9,2.0802
54,10,2.0307
54,11,1.571
54,12,1.3568
55,0,1.5849
55,1,1.4331
55,2,0.7219
55,3,1.0392
55,4,1.971
55,5,1.0392
55,6,2.1163
55,7,1.819
55,8,2.1899
55,9,1.0
55,10,0.7219
55,11,1.5983
56,0,2.7855
56,1,2.0
56,2,1.7458
56,3,1.5671
56,4,-0.0
56,5,-0.0
57,0,2.0
57,1,1.957
57,2,1.2868
57,3,1.57
57,4,1.5849
57,5,1.3995
57,6,0.971
57,7,-0.0
57,8,1.3967
57,9,-0.0
57,10,0.8813
58,0,2.0
58,1,2.0
58,2,1.5219
58,3,1.2868
58,4,1.571
58,5,1.0
58,6,-0.0
59,0,2.0
59,1,1.5849
59,2,1.7763
59,3,1.5849
60,0,2.0
60,1,1.4331
60,2,1.7056
60,3,1.8245
60,4,1.8245
60,5,-0.0
60,6,-0.0
61,0,2.0
61,1,1.0
61,2,0.8813
61,3,1.7864
61,4,2.3546
61,5,2.1739
61,6,1.1032
61,7,1.6582
61,8,1.6582
61,9,1.8787
61,10,1.9124
61,11,2.3779
61,12,1.5667
61,13,1.7056
61,14,1.6692
61,15,1.761
62,0,2.0
62,1,2.2998
62,2,2.971
62,3,2.5414
62,4,1.5166
62,5,2.361
62,6,-0.0
62,7,-0.0
62,8,-0.0
63,0,2.0
63,1,1.5849
63,2,1.4331
63,3,2.0839
63,4,1.0
63,5,1.4367
63,6,1.7063
64,0,2.0
64,1,1.8787
64,2,1.5849
64,3,1.2868
64,4,0.7
64,5,-0.0
65,0,2.0
65,1,1.5849
65,2,1.5219
65,3,0.469
65,4,1.4037
65,5,1.2948
65,6,-0.0
65,7,1.371
65,8,1.7291
65,9,2.6855
65,10,-0.0
66,0,1.0
66,1,-0.0
66,2,-0.0
67,0,2.971
67,1,2.0
67,2,2.7643
67,3,1.4855
67,4,0.469
67,5,2.906
68,0,2.0
68,1,2.5207
68,2,2.1522
68,3,2.1036
68,4,0.971
68,5,1.9219
68,6,0.469
68,7,1.361
68,8,-0.0
69,0,2.0
69,1,2.0
69,2,1.57
69,3,0.971
69,4,0.9853
69,5,1.0
69,6,1.1032
70,0,2.0
70,1,2.0
70,2,1.5219
70,3,1.2868
70,4,1.541
70,5,1.4331
70,6,2.7912
71,0,2.0
71,1,2.0
71,2,2.0
71,3,1.469
71,4,1.9219
72,0,2.1623
72,1,2.0
72,2,1.0
72,3,1.0
72,4,1.2556
72,5,2.2042
72,6,-0.0
73,0,2.0
73,1,2.0
73,2,1.9899
73,3,1.5301
73,4,-0.0
73,5,0.7
73,6,0.469
74,0,2.0
74,1,2.0
74,2,2.0
74,3,1.957
74,4,2.1623
74,5,1.8245
74,6,1.9872
74,7,1.563
74,8,-0.0
76,0,2.0
76,1,2.0989
76,2,1.4367
76,3,1.8464
76,4,1.706
76,5,1.6855
76,6,1.8464
76,7,1.0392
76,8,1.706
77,0,2.0
77,1,2.0
77,2,1.4331
77,3,1.8955
78,0,2.0
78,1,2.0
78,2,1.5849
78,3,0.7219
78,4,0.469
79,0,2.3868
79,1,2.0
79,2,0.971
79,3,0.8813
79,4,0.7
80,0,3.0
80,1,2.0
80,2,1.974
80,3,0.8476
80,4,-0.0
80,5,-0.0
80,6,-0.0
81,0,2.0
81,1,1.957
81,2,1.9899
81,3,1.4331
81,4,0.7219
81,5,0.469
81,6,2.281
82,0,2.0
82,1,2.0
82,2,1.7219
82,3,1.8395
82,4,1.57
82,5,1.0
82,6,0.8476
83,0,2.0
83,1,2.0
83,2,1.6994
83,3,1.1471
83,4,1.154
83,5,0.8476
83,6,-0.0
84,0,1.5849
84,1,1.0
84,2,1.2868
84,3,0.469
84,4,0.8813
84,5,1.0
85,0,2.0
85,1,1.8787
85,2,1.9899
85,3,1.971
85,4,2.1332
85,5,1.5219
85,6,-0.0
86,0,2.0
86,1,2.2738
86,2,2.0
86,3,1.8875
86,4,0.7219
86,5,0.469
86,6,1.469
86,7,-0.0
86,8,-0.0
87,0,1.957
87,1,2.8976
87,2,0.8813
87,3,1.781
87,4,2.0677
88,0,1.8955
88,1,2.0
88,2,1.6303
88,3,1.571
88,4,1.6872
88,5,1.5003
88,6,0.7219
88,7,1.5097
88,8,2.0361
89,0,1.5849
89,1,1.154
89,2,2.0839
89,3,1.5219
89,4,1.5301
