dialogue_id,intra_dialogue_id,entropy,cross_entropy
0,0,1.921,1.204
0,1,2.0,1.3863
0,2,1.5849,1.0987
0,3,1.5849,1.1498
0,4,1.4834,0.8997
0,5,1.1489,0.1924
1,0,2.9965,2.051
1,1,2.124,1.2612
1,2,1.4834,2.0152
1,3,1.2988,2.9957
2,0,1.9938,36.0437
2,1,1.5849,2.3026
2,2,1.0,36.0437
2,3,1.0,36.0437
2,4,1.0,36.0437
2,5,0.6501,3.4022
2,6,0.0,36.0437
2,7,0.0,36.0437
2,8,0.0,1.4917
2,9,0.0,1.6094
2,10,0.0,0.0
3,0,2.0,1.3863
3,1,1.5849,1.7093
3,2,1.0,0.8363
3,3,-0.0,0.0
4,0,2.0,1.3863
4,1,1.5849,1.0987
4,2,1.0,0.6931
4,3,-0.0,0.0
4,4,-0.0,0.0
5,0,2.0,1.3863
5,1,1.5849,1.0987
5,2,1.0,0.6931
5,3,-0.0,0.0
6,0,2.0,1.3863
6,1,1.0,0.6931
6,2,0.9544,0.4054
6,3,0.9544,0.3567
6,4,1.0,0.6931
6,5,0.8631,0.2231
6,6,1.0,0.6931
6,7,-0.0,0.0
6,8,-0.0,0.0
6,9,-0.0,0.3567
6,10,-0.0,0.6931
7,0,2.0,1.3863
7,1,1.9709,1.2612
7,2,1.0,0.6931
7,3,0.9911,0.5108
7,4,0.6501,0.1054
7,5,-0.0,0.0
7,6,-0.0,0.0
7,7,-0.0,0.0
8,0,2.0,1.3863
8,1,2.0,1.3863
8,2,1.0,0.6931
8,3,-0.0,0.5679
8,4,-0.0,0.5978
9,0,2.0,1.3863
9,1,2.0,1.3863
9,2,0.9911,0.9163
9,3,1.0,0.6931
9,4,0.9911,1.0498
9,5,1.0,0.6931
9,6,1.0,0.6931
9,7,0.9911,0.9163
9,8,1.0,0.6931
9,9,1.0,0.6931
9,10,0.9544,1.204
9,11,0.8631,0.2231
9,12,-0.0,0.0
10,0,2.1809,1.4271
10,1,2.0,1.3863
10,2,1.361,0.6931
10,3,0.9911,1.0987
10,4,0.9911,0.9163
10,5,0.8631,1.6094
10,6,0.6501,2.3026
10,7,-0.0,36.0437
10,8,-0.0,36.0437
10,9,-0.0,2.7076
10,10,-0.0,36.0437
10,11,-0.0,36.0437
10,12,-0.0,0.3567
10,13,-0.0,0.3567
11,0,2.0,1.3863
11,1,2.0,1.3863
11,2,1.4834,0.8363
11,3,1.0,0.6931
11,4,0.9911,1.3216
11,5,1.0,1.0032
11,6,-0.0,0.5108
11,7,-0.0,0.9163
11,8,-0.0,1.6094
11,9,-0.0,0.3567
12,0,2.0,1.3863
12,1,1.9709,1.8971
12,2,1.8632,2.3026
12,3,1.8842,1.204
12,4,1.4949,1.7916
12,5,1.5849,0.7621
13,0,2.2577,1.4697
13,1,2.3166,1.6681
13,2,1.5305,0.9163
13,3,1.2517,2.3026
13,4,0.7219,1.6094
13,5,0.9544,1.8971
13,6,0.9183,1.204
13,7,0.8631,0.2231
13,8,-0.0,0.0
13,9,-0.0,0.0
14,0,2.0,1.3863
14,1,1.0,0.6931
14,2,1.0,0.6931
14,3,-0.0,0.0
14,4,-0.0,0.0
15,0,2.0,1.3863
15,1,1.0,0.6931
15,2,1.0,0.6931
15,3,0.9911,0.5679
15,4,1.0,0.6931
15,5,0.9911,0.5108
16,0,2.0,1.3863
16,1,2.0,1.3863
16,2,1.9938,1.6094
16,3,1.3486,0.7621
16,4,0.8113,0.7621
16,5,1.0,1.204
16,6,0.7219,0.2231
17,0,3.0,2.0794
17,1,2.0,1.3863
17,2,1.9238,1.0987
17,3,1.5849,1.0987
17,4,0.9544,0.5108
17,5,-0.0,0.3567
17,6,-0.0,0.1054
18,0,1.0,0.6931
18,1,1.0,0.7985
18,2,0.9911,0.5978
18,3,1.0,1.0032
18,4,0.9911,0.9163
18,5,1.0,0.6931
18,6,0.6501,0.2657
18,7,1.0,1.204
19,0,1.8232,1.1498
19,1,1.5849,1.1498
19,2,1.0,36.0437
19,3,0.971,1.6094
19,4,-0.0,0.6931
19,5,-0.0,0.6931
19,6,0.0,0.0
20,0,1.5849,1.0987
20,1,1.4834,1.2972
20,2,-0.0,0.0
20,3,-0.0,0.0
20,4,-0.0,0.1054
20,5,-0.0,0.3567
20,6,-0.0,0.0
20,7,-0.0,0.0
21,0,2.0,1.3863
21,1,2.0,1.3863
21,2,1.9938,1.3216
21,3,-0.0,36.0437
21,4,0.0,1.1498
21,5,0.0,1.3471
21,6,0.0,0.1625
22,0,2.0,1.3863
22,1,2.0,1.3863
22,2,1.921,1.204
22,3,0.9852,0.9163
22,4,-0.0,0.0
22,5,-0.0,0.0
22,6,-0.0,0.1054
23,0,2.0,1.3863
23,1,2.0,1.3863
23,2,1.8091,1.6966
23,3,1.4834,2.0152
23,4,1.5849,1.0987
23,5,1.3486,2.7076
23,6,1.0,0.6931
23,7,0.9911,0.9163
23,8,-0.0,0.6931
23,9,-0.0,1.0987
23,10,-0.0,0.8754
24,0,1.5849,36.0437
24,1,1.4834,1.6966
24,2,1.0,2.0152
24,3,0.8631,1.7916
24,4,0.9183,0.2877
24,5,1.0,0.9163
24,6,0.9911,2.1481
24,7,-0.0,0.2231
24,8,-0.0,0.2231
24,9,0.0,0.0
25,0,1.5849,1.0987
25,1,1.5849,1.0987
25,2,1.3486,0.8557
25,3,0.9852,0.9163
25,4,1.0,0.6931
25,5,-0.0,0.0
25,6,-0.0,0.5978
25,7,-0.0,0.4308
25,8,-0.0,0.0
26,0,2.0,1.3863
26,1,1.0,0.6931
26,2,0.9544,0.8363
26,3,-0.0,0.0
26,4,-0.0,0.0
26,5,-0.0,0.2231
26,6,-0.0,0.0
26,7,-0.0,0.3216
27,0,2.0,1.3863
27,1,2.0,1.3863
27,2,2.0,1.3863
27,3,0.9911,36.0437
27,4,0.9544,1.6966
27,5,0.9544,0.9589
27,6,0.6501,0.9163
27,7,0.9183,0.3567
27,8,-0.0,0.9163
27,9,-0.0,1.204
27,10,0.0,0.3567
27,11,0.0,0.0
28,0,2.8037,1.9132
28,1,2.0,1.3863
28,2,1.6647,1.7148
28,3,1.3516,0.6287
28,4,1.5395,0.5391
29,0,2.0,1.3863
29,1,1.0,0.6931
29,2,0.6501,0.1625
30,0,2.0,1.3863
30,1,2.0,1.3863
30,2,1.1489,0.1431
30,3,1.1489,0.1625
31,0,2.0,1.3863
31,1,1.8232,1.1498
31,2,1.5849,1.0987
31,3,1.0,0.6931
31,4,-0.0,0.0
32,0,2.0,1.3863
32,1,1.0,0.6931
32,2,1.0,1.204
