dialogue_id,intra_dialogue_id,entropy
0,0,2.3219
0,1,1.9709
0,2,1.5849
0,3,1.4855
0,4,1.4855
0,5,1.4355
1,0,3.0
1,1,2.9607
1,2,3.0
1,3,3.0
2,0,2.0
2,1,1.5849
2,2,1.4834
2,3,1.3486
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,-0.0
3,0,2.0
3,1,1.5849
3,2,1.3486
3,3,-0.0
4,0,2.0
4,1,1.5849
4,2,1.3486
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,1.0
5,3,-0.0
6,0,2.0
6,1,1.0
6,2,0.8631
6,3,0.9544
6,4,0.9544
6,5,0.8631
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
7,0,2.0
7,1,2.0
7,2,0.9911
7,3,1.0
7,4,-0.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,1.5486
8,3,1.0
8,4,0.9911
9,0,2.0
9,1,1.7841
9,2,-0.0
9,3,-0.0
9,4,-0.0
9,5,-0.0
9,6,-0.0
9,7,-0.0
9,8,-0.0
9,9,-0.0
9,10,-0.0
9,11,-0.0
9,12,0
10,0,2.0
10,1,1.5849
10,2,1.0
10,3,1.0
10,4,0.6501
10,5,0.7219
10,6,0.6501
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,-0.0
10,11,-0.0
10,12,0
10,13,0
11,0,2.0
11,1,1.9938
11,2,0.8631
11,3,0.8631
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,0
11,8,0
11,9,0
12,0,2.0
12,1,1.921
12,2,1.7604
12,3,-0.0
12,4,-0.0
12,5,-0.0
13,0,2.0
13,1,1.5849
13,2,1.5774
13,3,1.4056
13,4,1.5395
13,5,1.5766
13,6,1.5766
13,7,1.5849
13,8,1.5766
13,9,1.4355
14,0,2.0
14,1,1.0
14,2,0.9911
14,3,0.6501
14,4,0.6501
15,0,2.0
15,1,1.0
15,2,0.8631
15,3,0.8631
15,4,1.0
15,5,-0.0
16,0,2.0
16,1,2.0
16,2,1.5849
16,3,-0.0
16,4,0
16,5,0
16,6,0
17,0,2.1809
17,1,1.7899
17,2,-0.0
17,3,-0.0
17,4,-0.0
17,5,-0.0
17,6,-0.0
18,0,2.0
18,1,1.9938
18,2,0.9911
18,3,1.0
18,4,-0.0
18,5,-0.0
18,6,0
18,7,0
