dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.4466
0,3,0.469
0,4,1.2841
0,5,1.1603
0,6,-0.0
0,7,0.7219
0,8,0.7
1,0,1.5849
1,1,1.8955
1,2,1.9899
1,3,1.971
2,0,1.5849
2,1,1.7921
2,2,1.2868
2,3,0.7219
2,4,0.469
2,5,-0.0
3,0,3.0
3,1,2.0
3,2,1.8787
3,3,1.0
3,4,-0.0
3,5,-0.0
4,0,2.0
4,1,2.5893
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,2.7696
5,2,-0.0
6,0,1.9899
6,1,1.5849
6,2,1.0
6,3,2.0406
7,0,2.0
7,1,2.0
7,2,1.0
7,3,-0.0
8,0,2.0
8,1,2.0
8,2,1.5219
8,3,1.8955
9,0,2.0
9,1,2.0
9,2,1.5301
9,3,-0.0
9,4,1.9899
9,5,1.0
9,6,-0.0
10,0,2.0
10,1,2.0
10,2,1.5849
10,3,1.2868
10,4,1.6793
11,0,2.0
11,1,2.0
11,2,1.0
11,3,1.0
11,4,0.8813
11,5,-0.0
12,0,2.0
12,1,1.7921
12,2,-0.0
12,3,-0.0
12,4,1.1603
13,0,2.0
13,1,1.957
13,2,-0.0
14,0,2.0
14,1,2.0
14,2,1.9899
14,3,0.8476
15,0,2.0
15,1,1.7921
15,2,1.4331
15,3,-0.0
16,0,2.0
16,1,2.0
16,2,1.9393
16,3,-0.0
17,0,2.0
17,1,2.0
17,2,2.7842
17,3,-0.0
18,0,2.5219
18,1,1.8245
18,2,1.7921
18,3,1.571
18,4,1.57
18,5,1.9914
18,6,2.2261
18,7,2.4173
18,8,1.1568
19,0,1.5849
19,1,1.57
19,2,1.0
19,3,0.971
19,4,1.3995
19,5,1.0
19,6,-0.0
20,0,1.5849
20,1,1.8955
20,2,1.0
20,3,0.7219
20,4,-0.0
21,0,2.0
21,1,2.0
21,2,1.5219
21,3,1.0
21,4,-0.0
21,5,-0.0
22,0,2.7219
22,1,2.0
22,2,1.2955
22,3,0.8476
23,0,2.0
23,1,1.8809
23,2,0.9853
24,0,1.5849
24,1,2.0
24,2,1.4367
24,3,1.4331
24,4,-0.0
25,0,2.4551
25,1,1.9899
25,2,1.7253
25,3,1.0
25,4,1.0
25,5,1.0
25,6,1.0
25,7,1.1603
26,0,2.0
26,1,2.0
26,2,1.781
26,3,1.469
26,4,0.9219
26,5,1.6582
27,0,2.0
27,1,2.1455
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,1.571
28,3,-0.0
29,0,2.0
29,1,1.9899
29,2,2.0
30,0,2.0
30,1,1.5219
30,2,1.0
30,3,-0.0
30,4,0.469
31,0,2.0
31,1,2.1455
31,2,1.9848
31,3,-0.0
32,0,2.0
32,1,1.5849
32,2,-0.0
33,0,2.0
33,1,2.0
33,2,1.5219
33,3,1.57
