dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.2988
0,3,0.6501
0,4,0.7219
0,5,0.6501
0,6,-0.0
0,7,0
0,8,0
1,0,1.5849
1,1,1.5849
1,2,1.5849
1,3,1.5774
2,0,1.5849
2,1,1.5849
2,2,1.3486
2,3,0.8631
2,4,-0.0
2,5,0
3,0,3.0
3,1,2.0
3,2,1.5774
3,3,1.0
3,4,-0.0
3,5,-0.0
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,-0.0
6,0,1.9938
6,1,1.5849
6,2,1.0
6,3,0.6501
7,0,2.0
7,1,2.0
7,2,1.0
7,3,-0.0
8,0,2.0
8,1,2.0
8,2,1.5486
8,3,1.5849
9,0,2.0
9,1,2.0
9,2,1.5766
9,3,-0.0
9,4,-0.0
9,5,0
9,6,0
10,0,2.0
10,1,2.0
10,2,1.5849
10,3,1.3486
10,4,0.9852
11,0,2.0
11,1,2.0
11,2,1.0
11,3,1.0
11,4,0.9544
11,5,-0.0
12,0,2.0
12,1,1.8232
12,2,-0.0
12,3,0
12,4,0
13,0,2.0
13,1,1.5849
13,2,-0.0
14,0,2.0
14,1,2.0
14,2,1.9938
14,3,1.5488
15,0,2.0
15,1,1.8232
15,2,1.4834
15,3,-0.0
16,0,2.0
16,1,2.0
16,2,1.9714
16,3,-0.0
17,0,2.0
17,1,2.0
17,2,1.9938
17,3,-0.0
18,0,2.5486
18,1,1.9086
18,2,1.8232
18,3,1.5766
18,4,1.5774
18,5,0.9911
18,6,-0.0
18,7,-0.0
18,8,-0.0
19,0,1.5849
19,1,1.5774
19,2,1.0
19,3,0.9911
19,4,0.8631
19,5,-0.0
19,6,0
20,0,1.5849
20,1,1.4834
20,2,1.0
20,3,0.8631
20,4,-0.0
21,0,2.0
21,1,2.0
21,2,1.5486
21,3,1.0
21,4,-0.0
21,5,-0.0
22,0,2.863
22,1,2.0
22,2,1.3516
22,3,1.1489
23,0,2.0
23,1,1.5766
23,2,1.2988
24,0,1.5849
24,1,1.5849
24,2,1.2517
24,3,0.8631
24,4,-0.0
25,0,2.4679
25,1,1.9938
25,2,1.8091
25,3,1.0
25,4,1.0
25,5,1.0
25,6,1.0
25,7,0.6501
26,0,2.0
26,1,2.0
26,2,1.6499
26,3,1.6499
26,4,1.1489
26,5,1.4855
27,0,2.0
27,1,1.5849
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,-0.0
28,3,-0.0
29,0,2.0
29,1,1.9938
29,2,2.0
30,0,2.0
30,1,1.5486
30,2,1.0
30,3,-0.0
30,4,-0.0
31,0,2.0
31,1,1.5849
31,2,1.3486
31,3,-0.0
32,0,2.0
32,1,1.5849
32,2,-0.0
33,0,2.0
33,1,2.0
33,2,1.5486
33,3,1.5774
33,4,1.5726
