dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.0
0,3,0.6501
0,4,-0.0
0,5,-0.0
0,6,-0.0
0,7,-0.0
0,8,-0.0
1,0,2.0
1,1,2.0
1,2,2.0
1,3,1.0
2,0,2.0
2,1,2.0
2,2,1.5774
2,3,-0.0
2,4,-0.0
2,5,-0.0
3,0,3.0
3,1,2.0
3,2,1.5849
3,3,1.0
3,4,-0.0
3,5,-0.0
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,-0.0
6,0,2.0
6,1,1.5849
6,2,1.0
6,3,-0.0
7,0,2.0
7,1,2.0
7,2,-0.0
7,3,-0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.0
9,0,2.0
9,1,2.0
9,2,1.3486
9,3,1.0
9,4,-0.0
9,5,-1.0
9,6,-0.0
10,0,2.0
10,1,1.5849
10,2,1.0
10,3,-0.0
10,4,-0.0
11,0,2.0
11,1,2.0
11,2,-0.0
11,3,0.9852
11,4,-0.0
11,5,-0.0
12,0,2.0
12,1,2.0
12,2,1.0
12,3,-0.0
12,4,-0.0
13,0,2.0
13,1,1.5849
13,2,-0.0
14,0,2.0
14,1,2.0
14,2,2.0
14,3,-0.0
15,0,2.0
15,1,1.5849
15,2,1.0
15,3,-0.0
16,0,2.0
16,1,2.0
16,2,1.5849
16,3,-0.0
17,0,2.0
17,1,2.0
17,2,1.0
17,3,-0.0
18,0,2.8078
18,1,2.0
18,2,2.0
18,3,1.5849
18,4,1.0
18,5,1.0
18,6,-0.0
18,7,-0.0
18,8,-0.0
19,0,2.0
19,1,1.5849
19,2,1.5849
19,3,1.5849
19,4,1.5486
19,5,1.0
19,6,-0.0
20,0,2.0
20,1,2.0
20,2,1.5849
20,3,-0.0
20,4,-0.0
21,0,2.0
21,1,2.0
21,2,1.5849
21,3,-0.0
21,4,-0.0
21,5,-0.0
22,0,2.5852
22,1,2.0
22,2,1.0
22,3,-0.0
23,0,2.0
23,1,1.5849
23,2,-0.0
24,0,1.5486
24,1,1.3516
24,2,1.9928
24,3,1.5774
24,4,-0.0
25,0,2.3219
25,1,2.0
25,2,2.0
25,3,1.0
25,4,1.0
25,5,-0.0
25,6,-0.0
25,7,-0.0
26,0,2.0
26,1,2.0
26,2,1.0
26,3,-0.0
26,4,-0.0
26,5,-0.0
27,0,2.3219
27,1,2.0
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,-0.0
28,3,-0.0
29,0,2.0
29,1,2.0
29,2,-0.0
30,0,2.0
30,1,1.5849
30,2,1.0
30,3,-0.0
30,4,-0.0
31,0,2.0
31,1,1.5849
31,2,1.0
31,3,-0.0
32,0,2.0
32,1,1.5849
32,2,-0.0
33,0,2.0
33,1,2.0
33,2,1.0
33,3,1.0
33,4,-0.0
