dialogue_id,intra_dialogue_id,entropy
0,0,2.3219
0,1,1.8955
0,2,1.7717
0,3,1.5996
0,4,1.5444
0,5,2.2227
0,6,1.5444
0,7,0.9543
0,8,0.9543
1,0,2.0
1,1,1.9899
1,2,2.0
1,3,1.3568
2,0,2.0
2,1,1.5849
2,2,1.8332
2,3,1.6855
2,4,2.0812
2,5,1.706
3,0,3.0
3,1,2.0
3,2,2.5805
3,3,2.706
3,4,2.4721
3,5,2.4721
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,0.8476
4,4,0.8476
5,0,2.0
5,1,1.5849
5,2,-0.0
6,0,2.0
6,1,1.5849
6,2,1.0
6,3,-0.0
7,0,2.0
7,1,2.0
7,2,1.0
7,3,1.706
8,0,2.0
8,1,1.9899
8,2,1.2868
8,3,-0.0
9,0,2.0
9,1,2.0
9,2,1.5849
9,3,1.571
9,4,2.132
9,5,2.3706
9,6,0.8476
10,0,2.0
10,1,1.5849
10,2,1.0
10,3,-0.0
10,4,-0.0
11,0,2.0
11,1,1.957
11,2,1.0
11,3,1.0
11,4,-0.0
11,5,2.0
12,0,2.0
12,1,1.5849
12,2,-0.0
12,3,-0.0
12,4,-0.0
13,0,2.0
13,1,1.5849
13,2,-0.0
14,0,2.0
14,1,2.0
14,2,1.8955
14,3,-0.0
15,0,2.0
15,1,1.5849
15,2,1.7219
15,3,-0.0
16,0,2.0
16,1,2.0
16,2,1.57
16,3,-0.0
17,0,2.0
17,1,1.971
17,2,0.971
17,3,1.3568
18,0,2.5852
18,1,2.0
18,2,1.9899
18,3,1.57
18,4,2.1533
18,5,0.8813
18,6,-0.0
18,7,-0.0
18,8,0.9543
19,0,2.0
19,1,1.0
19,2,-0.0
19,3,0.7219
19,4,1.771
19,5,1.7847
19,6,-0.0
20,0,2.0
20,1,2.0
20,2,1.469
20,3,1.706
20,4,2.0
21,0,2.0
21,1,2.0
21,2,1.5849
21,3,-0.0
21,4,2.0
21,5,-0.0
22,0,2.0
22,1,2.0
22,2,1.0
22,3,1.706
23,0,2.0
23,1,1.5849
23,2,-0.0
24,0,2.0
24,1,2.0
24,2,1.8813
24,3,0.7
24,4,-0.0
25,0,2.0
25,1,2.0
25,2,1.8787
25,3,1.0
25,4,0.469
25,5,0.8476
25,6,-0.0
25,7,0.8476
26,0,2.0
26,1,1.957
26,2,1.0
26,3,-0.0
26,4,1.3568
26,5,0.8476
27,0,2.0
27,1,1.5849
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,1.706
28,3,-0.0
29,0,2.0
29,1,2.0
29,2,-0.0
30,0,2.0
30,1,1.5849
30,2,1.469
