dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.9938
0,3,1.4834
0,4,1.5774
0,5,0.6501
1,0,3.0
1,1,2.9588
1,2,2.787
1,3,1.6499
2,0,2.0
2,1,2.0
2,2,2.0
2,3,1.5849
2,4,0.9544
2,5,-0.0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,2.2577
3,1,1.8257
3,2,1.8091
3,3,-0.0
4,0,2.0
4,1,1.9938
4,2,1.9238
4,3,1.9714
4,4,0.8631
5,0,2.0
5,1,1.921
5,2,1.921
5,3,1.2988
6,0,2.0
6,1,1.0
6,2,-0.0
6,3,-0.0
6,4,-0.0
6,5,-0.0
6,6,-0.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
7,0,2.0
7,1,1.9911
7,2,1.0
7,3,1.0
7,4,1.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.5849
8,4,-0.0
9,0,2.0
9,1,2.0
9,2,1.9714
9,3,1.8257
9,4,1.0
9,5,1.0
9,6,1.0
9,7,1.0
9,8,0.9911
9,9,1.0
9,10,0.9911
9,11,0.9911
9,12,0.9911
10,0,1.9709
10,1,2.0
10,2,1.5774
10,3,1.5849
10,4,1.0
10,5,1.0
10,6,1.0
10,7,1.0
10,8,0.9911
10,9,1.0
10,10,0.9544
10,11,1.0
10,12,-0.0
10,13,-0.0
11,0,1.9938
11,1,2.0
11,2,1.5546
11,3,1.5766
11,4,1.5395
11,5,1.2988
11,6,1.3486
11,7,0.9911
11,8,0.9544
11,9,0.6501
12,0,2.0
12,1,2.0
12,2,1.9709
12,3,0.9544
12,4,0.8113
12,5,-0.0
13,0,2.0
13,1,1.5849
13,2,1.5849
13,3,1.5849
13,4,1.0
13,5,1.0
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,-0.0
14,4,-0.0
15,0,2.3166
15,1,1.5849
15,2,1.5849
15,3,1.5849
15,4,1.5849
15,5,1.4834
16,0,1.9938
16,1,2.0
16,2,2.0
16,3,1.5774
16,4,0.9544
16,5,0.6501
16,6,0.6501
17,0,2.5161
17,1,2.5803
17,2,2.1645
17,3,2.2427
17,4,1.7899
17,5,1.3486
17,6,-0.0
18,0,2.0
18,1,2.0
18,2,1.4592
18,3,1.5849
18,4,1.5486
18,5,1.5849
18,6,1.0
18,7,0.6501
19,0,2.0
19,1,1.0
19,2,0.9911
19,3,1.0
19,4,0.9911
19,5,1.0
19,6,-0.0
20,0,2.0
20,1,1.3486
20,2,1.4834
20,3,1.361
20,4,1.0
20,5,-0.0
20,6,-0.0
20,7,-0.0
21,0,2.0
21,1,2.0
21,2,1.921
21,3,1.8257
21,4,1.4949
21,5,1.3486
21,6,-0.0
22,0,2.0
