dialogue_id,intra_dialogue_id,entropy
0,0,1.9997
0,1,2.243
0,2,2.1645
0,3,2.2869
0,4,1.6791
0,5,0.6501
1,0,3.0
1,1,2.9394
1,2,2.7708
1,3,1.1411
2,0,2.0
2,1,2.2707
2,2,2.2592
2,3,2.0691
2,4,1.8033
2,5,1.3141
2,6,1.9104
2,7,1.7543
2,8,1.5494
2,9,1.8994
2,10,0.2761
3,0,2.071
3,1,1.5845
3,2,2.1782
3,3,-0.0
4,0,2.0
4,1,1.9899
4,2,2.4245
4,3,2.0668
4,4,2.4492
5,0,2.0
5,1,2.0663
5,2,2.138
5,3,1.35
6,0,2.0
6,1,1.0
6,2,0.2761
6,3,1.2363
6,4,0.9911
6,5,0.9544
6,6,1.5242
6,7,-0.0
6,8,-0.0
6,9,0.6962
6,10,0.6501
7,0,2.0
7,1,1.9519
7,2,1.0
7,3,0.9978
7,4,1.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.531
8,4,1.286
9,0,1.9798
9,1,2.379
9,2,2.1451
9,3,2.7596
9,4,1.8334
9,5,2.8404
9,6,2.7696
9,7,2.5875
9,8,2.365
9,9,2.1823
9,10,1.9418
9,11,2.1934
9,12,2.3295
10,0,2.0
10,1,2.7245
10,2,2.749
10,3,1.9642
10,4,1.8265
10,5,1.0
10,6,1.0
10,7,1.0
10,8,0.9995
10,9,1.4281
10,10,1.7409
10,11,1.2761
10,12,-0.0
10,13,0.2761
11,0,1.9849
11,1,2.3489
11,2,1.8314
11,3,2.5766
11,4,2.7039
11,5,2.5497
11,6,2.5672
11,7,2.84
11,8,2.4702
11,9,1.9417
12,0,2.0
12,1,2.0
12,2,1.9849
12,3,1.141
12,4,2.2102
12,5,0.2761
13,0,2.0
13,1,1.9899
13,2,1.5849
13,3,1.5849
13,4,1.1411
13,5,1.4033
13,6,-0.0
13,7,1.4052
13,8,1.0498
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,0.7642
14,4,0.8166
15,0,2.2257
15,1,1.9098
15,2,2.9393
15,3,2.8184
15,4,1.921
15,5,1.1411
16,0,1.998
16,1,2.5005
16,2,2.7626
16,3,2.8308
16,4,1.8968
16,5,1.6299
16,6,2.7081
17,0,2.5441
17,1,2.7944
17,2,2.2698
17,3,2.2928
17,4,2.5533
17,5,2.121
17,6,2.1616
18,0,2.0
18,1,2.0
18,2,1.4573
18,3,1.921
18,4,1.5486
18,5,1.5849
18,6,1.1546
18,7,0.8166
19,0,2.0
19,1,1.8087
19,2,1.9553
19,3,1.9943
19,4,1.1487
19,5,1.5486
19,6,0.4395
20,0,2.0
20,1,1.6439
20,2,1.6365
20,3,0.6785
20,4,1.232
20,5,0.8257
20,6,0.2761
20,7,-0.0
21,0,2.0
21,1,2.1173
21,2,2.291
21,3,2.0447
21,4,1.5802
21,5,1.7441
21,6,-0.0
22,0,2.0
22,1,2.394
22,2,2.8254
22,3,1.9715
22,4,1.9705
22,5,1.921
22,6,0.6785
23,0,2.2479
23,1,2.354
23,2,2.6553
23,3,2.3435
23,4,2.0173
23,5,2.3723
23,6,2.1393
23,7,2.0802
23,8,1.0102
23,9,2.1649
23,10,1.9707
24,0,2.0
24,1,2.0
24,2,1.5849
24,3,1.3601
24,4,1.2243
24,5,1.0241
24,6,-0.0
24,7,1.0
24,8,1.35
24,9,1.2328
25,0,2.0
25,1,2.0
25,2,1.5584
25,3,1.1982
25,4,1.8401
25,5,1.9907
25,6,1.8257
25,7,-0.0
25,8,-0.0
26,0,2.0
26,1,1.9999
26,2,2.0
26,3,1.9411
26,4,1.9691
26,5,1.519
26,6,1.8609
26,7,1.5836
27,0,2.1167
27,1,2.6496
27,2,2.0524
27,3,2.2889
27,4,2.373
27,5,2.9535
27,6,2.9229
27,7,2.9742
27,8,2.9203
27,9,2.9106
27,10,2.6625
27,11,1.6012
28,0,2.8338
28,1,2.2577
28,2,1.9106
28,3,1.9997
28,4,1.6805
29,0,2.0
29,1,1.7857
29,2,-0.0
30,0,2.5801
30,1,2.1153
30,2,2.1411
30,3,-0.0
31,0,2.0
31,1,2.4985
31,2,2.8696
31,3,2.8561
31,4,1.5381
32,0,2.0
32,1,2.4277
32,2,1.5193
32,3,1.232
32,4,-0.0
32,5,1.3038
33,0,1.9943
33,1,2.6187
33,2,1.9694
33,3,2.2589
33,4,1.1411
33,5,2.4539
33,6,1.1411
33,7,-0.0
34,0,2.0
34,1,2.1809
34,2,2.2759
34,3,1.9319
34,4,1.3486
34,5,-0.0
34,6,-0.0
34,7,1.3042
34,8,-0.0
35,0,2.5744
35,1,2.2257
35,2,2.0221
35,3,1.8447
35,4,2.4477
35,5,1.6049
35,6,1.8802
35,7,1.4125
35,8,0.5585
35,9,0.9789
35,10,-0.0
36,0,2.0
36,1,1.7857
36,2,2.3477
36,3,1.0948
37,0,2.0
37,1,2.0
37,2,1.5809
37,3,1.51
37,4,1.1432
37,5,-0.0
37,6,2.3245
38,0,2.0
38,1,2.4326
38,2,2.1474
38,3,2.2472
38,4,2.3485
39,0,2.3192
39,1,2.4893
39,2,2.494
39,3,2.62
39,4,2.2051
39,5,2.1172
39,6,1.9899
39,7,1.5798
40,0,2.769
40,1,2.3166
40,2,2.6496
40,3,2.6931
40,4,2.4641
40,5,1.9638
40,6,1.596
40,7,2.0164
41,0,2.0
41,1,2.3222
41,2,1.232
42,0,2.0
42,1,2.0
42,2,1.9397
42,3,1.9672
42,4,0.2761
43,0,2.0
43,1,2.0
43,2,2.0
43,3,2.1614
43,4,2.2255
43,5,1.9377
43,6,2.2288
43,7,1.8988
43,8,2.1757
43,9,2.3349
44,0,2.5044
44,1,2.5474
44,2,2.8018
44,3,2.6945
44,4,2.5251
44,5,2.3188
44,6,2.2672
45,0,2.4882
45,1,2.3704
45,2,2.2699
45,3,1.9149
45,4,2.4489
45,5,2.2382
45,6,1.9633
45,7,2.5428
45,8,2.4832
45,9,2.3005
45,10,2.5914
45,11,2.3787
45,12,2.494
45,13,2.5049
45,14,2.168
45,15,1.6042
45,16,0.5307
46,0,2.6522
46,1,1.677
46,2,2.0072
46,3,1.8199
46,4,1.819
46,5,1.9697
46,6,0.5585
47,0,1.8803
47,1,2.354
47,2,1.9997
47,3,1.9798
47,4,1.9788
47,5,1.9957
47,6,0.9852
48,0,2.8073
48,1,2.1866
48,2,2.7767
48,3,2.5189
48,4,2.7878
48,5,2.0064
49,0,2.0
49,1,1.9997
49,2,2.0
49,3,1.2738
50,0,2.0
50,1,2.0
50,2,2.0
50,3,2.0
50,4,1.5336
50,5,1.6731
50,6,0.7219
51,0,2.6923
51,1,2.8212
51,2,2.4991
51,3,2.8506
51,4,2.7138
51,5,2.2611
51,6,-0.0
52,0,2.0
52,1,2.7076
52,2,2.3614
52,3,1.8663
52,4,2.1475
52,5,-0.0
53,0,2.0
53,1,2.2992
53,2,1.0
53,3,1.6321
53,4,-0.0
54,0,2.0
54,1,2.4982
54,2,1.4681
54,3,-0.0
54,4,1.7028
54,5,1.1489
54,6,1.0613
54,7,1.8249
54,8,1.3789
54,9,2.6802
54,10,2.2004
54,11,2.4238
54,12,1.5883
55,0,1.9986
55,1,2.7712
55,2,2.2393
55,3,2.1808
55,4,2.4704
55,5,2.6602
55,6,2.6032
55,7,2.6942
55,8,2.6556
55,9,2.7983
55,10,2.8031
55,11,0.5307
56,0,2.8073
56,1,2.421
56,2,1.7335
56,3,2.8155
56,4,2.4266
56,5,1.0102
57,0,2.2051
57,1,2.3546
57,2,1.6806
57,3,2.1533
57,4,2.1838
57,5,2.2256
57,6,2.0054
57,7,1.5219
57,8,1.5726
57,9,1.6447
57,10,0.9161
58,0,2.0
58,1,2.0
58,2,2.071
58,3,1.9997
58,4,2.1061
58,5,1.7194
58,6,2.5119
59,0,2.071
59,1,2.0
59,2,2.2714
59,3,1.8803
60,0,2.0
60,1,2.5028
60,2,2.47
60,3,2.014
60,4,2.7898
60,5,2.2936
60,6,-0.0
61,0,2.0
61,1,2.1854
61,2,2.4687
61,3,1.9997
61,4,2.1122
61,5,1.8294
61,6,2.3187
61,7,2.1315
61,8,1.9475
61,9,2.2641
61,10,2.2966
61,11,2.1145
61,12,1.8232
61,13,1.5849
61,14,1.6797
61,15,1.2761
62,0,2.0
62,1,2.3047
62,2,2.495
62,3,2.3447
62,4,0.5488
62,5,2.1798
62,6,1.8451
62,7,0.6098
62,8,1.1162
63,0,2.0
63,1,1.8542
63,2,1.5849
63,3,1.8522
63,4,1.7425
63,5,1.5585
63,6,0.7794
64,0,2.0
64,1,2.3125
64,2,2.0
64,3,1.5849
64,4,1.8399
64,5,2.0179
65,0,2.0
65,1,2.0
65,2,0.7854
65,3,1.7769
65,4,2.4115
65,5,2.5201
65,6,2.6977
65,7,2.8041
65,8,2.8541
65,9,2.5157
65,10,1.1446
66,0,1.0
66,1,2.5666
66,2,1.5193
67,0,2.5063
67,1,2.682
67,2,2.3508
67,3,1.9977
67,4,2.1656
67,5,2.0545
68,0,2.0
68,1,1.8758
68,2,2.521
68,3,2.5556
68,4,1.8152
68,5,1.8992
68,6,2.5391
68,7,2.5166
68,8,2.282
69,0,2.0
69,1,2.0
69,2,1.921
69,3,1.5534
69,4,1.6791
69,5,1.5303
69,6,1.2743
70,0,2.0
70,1,1.8803
70,2,1.5079
70,3,1.3092
70,4,1.5106
70,5,1.818
70,6,-0.0
71,0,2.0
71,1,2.071
71,2,2.3824
71,3,2.3191
71,4,1.4366
72,0,2.6635
72,1,2.4353
72,2,2.7885
72,3,2.6015
72,4,2.9733
72,5,2.796
72,6,2.5845
73,0,2.5419
73,1,2.466
73,2,2.8695
73,3,2.9422
73,4,2.8795
73,5,2.722
73,6,0.9002
74,0,2.4519
74,1,2.4876
74,2,2.3786
74,3,2.4857
74,4,2.2877
74,5,1.7232
74,6,1.3922
74,7,1.6182
74,8,0.6785
76,0,2.3219
76,1,2.3208
76,2,0.6785
76,3,2.4705
76,4,2.2081
76,5,2.1404
76,6,2.0725
76,7,0.9961
76,8,0.4395
77,0,2.0
77,1,1.7396
77,2,1.5809
77,3,-0.0
78,0,2.531
78,1,2.5142
78,2,2.5219
78,3,2.265
78,4,2.5897
79,0,2.7942
79,1,2.5185
79,2,2.3952
79,3,1.4005
79,4,-0.0
80,0,3.0
80,1,2.4941
80,2,2.8094
80,3,2.3611
80,4,1.5337
80,5,1.1368
80,6,-0.0
81,0,2.071
81,1,2.0
81,2,2.0
81,3,1.5849
81,4,0.8524
81,5,0.5032
81,6,-0.0
82,0,2.0
82,1,2.0
82,2,2.0
82,3,2.0471
82,4,1.9397
82,5,2.2032
82,6,2.6657
83,0,2.8078
83,1,2.7105
83,2,2.8927
83,3,2.3619
83,4,2.273
83,5,1.9954
83,6,-0.0
84,0,2.5823
84,1,1.4281
84,2,0.9544
84,3,1.3967
84,4,1.0
84,5,-0.0
85,0,2.3208
85,1,2.0386
85,2,2.7336
85,3,2.5326
85,4,2.8932
85,5,2.3936
85,6,0.2761
86,0,2.2898
86,1,2.8976
86,2,2.7667
86,3,2.9718
86,4,2.9574
86,5,2.0229
86,6,2.5059
86,7,2.9185
86,8,2.1246
87,0,2.071
87,1,2.5006
87,2,2.0058
87,3,1.5977
87,4,1.0
88,0,2.7516
88,1,2.7497
88,2,2.399
88,3,2.2285
88,4,2.2234
88,5,2.5792
88,6,2.4472
88,7,1.6724
88,8,1.7585
