dialogue_id,intra_dialogue_id,entropy,cross_entropy
0,0,-0.0,36.0437
0,1,-1.0,36.0437
0,2,-1.0,36.0437
0,3,-1.0,36.0437
0,4,-1.0,36.0437
0,5,-1.0,36.0437
1,0,3.0,2.0794
1,1,1.8113,36.0437
1,2,1.5546,36.0437
1,3,-0.0,36.0437
2,0,1.371,1.6094
2,1,1.0,0.6931
2,2,0.9544,0.47
2,3,0.9911,0.5877
2,4,0.8631,0.3365
2,5,0.9911,0.5877
2,6,0.9183,0.4054
2,7,-0.0,0.0
2,8,-0.0,0.0
2,9,-0.0,0.0
2,10,-0.0,0.0
3,0,1.9938,1.3348
3,1,1.5486,0.9556
3,2,1.5305,0.811
3,3,0.8631,0.3365
4,0,1.9938,1.3348
4,1,1.5849,1.0987
4,2,0.8631,1.2528
4,3,0.6501,0.1824
4,4,-0.0,0.0
5,0,2.0,1.3863
5,1,1.8585,1.7048
5,2,1.5613,0.9808
5,3,-0.0,0.0
6,0,2.0,1.3863
6,1,1.0,0.6931
6,2,0.971,0.9163
6,3,1.0,0.6931
6,4,1.0,0.6931
6,5,1.0,0.6931
6,6,1.0,0.6931
6,7,1.0,0.6931
6,8,0.9544,0.47
6,9,1.0,0.6931
6,10,0.9911,0.5877
7,0,1.9056,36.0437
7,1,-1.0,36.0437
7,2,-1.0,36.0437
7,3,-1.0,36.0437
7,4,-1.0,36.0437
7,5,-1.0,36.0437
7,6,-1.0,36.0437
7,7,-1.0,36.0437
8,0,2.0,1.3863
8,1,2.0,1.3863
8,2,1.5849,1.0987
8,3,0.9544,0.47
8,4,-0.0,0.0
9,0,-0.0,36.0437
9,1,-1.0,36.0437
9,2,-1.0,36.0437
9,3,-1.0,36.0437
9,4,-1.0,36.0437
9,5,-1.0,36.0437
9,6,-1.0,36.0437
9,7,-1.0,36.0437
9,8,-1.0,36.0437
9,9,-1.0,36.0437
9,10,-1.0,36.0437
9,11,-1.0,36.0437
9,12,-1.0,36.0437
10,0,-1.0,36.0437
10,1,-1.0,36.0437
10,2,-1.0,36.0437
10,3,-1.0,36.0437
10,4,-1.0,36.0437
10,5,-1.0,36.0437
10,6,-1.0,36.0437
10,7,-1.0,36.0437
10,8,-1.0,36.0437
10,9,-1.0,36.0437
10,10,-1.0,36.0437
10,11,-1.0,36.0437
10,12,-1.0,36.0437
10,13,-1.0,36.0437
11,0,-0.0,36.0437
11,1,-0.0,36.0437
11,2,-1.0,36.0437
11,3,-1.0,36.0437
11,4,-1.0,36.0437
11,5,-1.0,36.0437
11,6,-1.0,36.0437
11,7,-1.0,36.0437
11,8,-1.0,36.0437
11,9,-1.0,36.0437
12,0,2.0,1.3863
12,1,2.0,1.3863
12,2,1.0,36.0437
12,3,1.0,36.0437
12,4,1.0,36.0437
12,5,-1.0,36.0437
13,0,2.0,1.3863
13,1,0.9183,1.0987
13,2,0.9544,0.47
13,3,0.9544,0.47
13,4,0.9911,0.811
13,5,1.0,0.6931
13,6,0.9544,0.47
13,7,1.0,0.6931
13,8,1.0,0.6931
13,9,-0.0,0.0
14,0,2.0,1.3863
14,1,1.0,0.6931
14,2,1.0,0.6931
14,3,-0.0,0.0
14,4,-0.0,0.0
15,0,1.2517,36.0437
15,1,-0.0,36.0437
15,2,-0.0,36.0437
15,3,-0.0,36.0437
15,4,-0.0,36.0437
15,5,-0.0,36.0437
16,0,-1.0,36.0437
16,1,-1.0,36.0437
16,2,-1.0,36.0437
16,3,-1.0,36.0437
16,4,-1.0,36.0437
16,5,-1.0,36.0437
16,6,-1.0,36.0437
17,0,1.7899,0.7886
17,1,1.8232,1.1632
17,2,1.4855,0.6931
17,3,1.5486,0.9556
17,4,0.9544,0.47
17,5,-0.0,0.0
17,6,-0.0,0.0
18,0,2.0,1.3863
18,1,2.0,1.3863
18,2,1.9899,1.3216
18,3,1.9329,1.3216
18,4,1.5774,1.0297
18,5,1.5849,1.0987
18,6,1.5849,1.0987
18,7,1.3516,0.5877
19,0,2.0,1.3863
19,1,-1.0,36.0437
19,2,-1.0,36.0437
19,3,-1.0,36.0437
19,4,-1.0,36.0437
19,5,-1.0,36.0437
19,6,-1.0,36.0437
20,0,2.0,1.3863
20,1,1.2988,36.0437
20,2,1.5,36.0437
20,3,0.9911,36.0437
20,4,1.0,36.0437
20,5,0.9183,36.0437
20,6,0.9183,36.0437
20,7,-1.0,36.0437
21,0,-0.0,36.0437
21,1,-1.0,36.0437
21,2,-1.0,36.0437
21,3,-1.0,36.0437
21,4,-1.0,36.0437
21,5,-1.0,36.0437
21,6,-1.0,36.0437
22,0,-1.0,36.0437
22,1,-1.0,36.0437
22,2,-1.0,36.0437
22,3,-1.0,36.0437
22,4,-1.0,36.0437
22,5,-1.0,36.0437
22,6,-1.0,36.0437
23,0,1.0,36.0437
23,1,0.9911,36.0437
23,2,0.9911,36.0437
23,3,1.0,36.0437
23,4,1.0,36.0437
23,5,1.0,36.0437
23,6,1.0,36.0437
23,7,1.0,36.0437
23,8,1.0,36.0437
23,9,0.6501,36.0437
23,10,-0.0,36.0437
24,0,2.0,1.3863
24,1,2.0,1.3863
24,2,1.5849,1.0987
24,3,1.3789,1.9456
24,4,0.9544,0.47
24,5,-0.0,36.0437
24,6,-0.0,36.0437
24,7,-0.0,36.0437
24,8,-0.0,36.0437
24,9,-0.0,36.0437
25,0,2.0,1.3863
25,1,2.0,1.3863
25,2,1.5774,1.0297
25,3,1.0,0.6931
25,4,0.9544,0.47
25,5,0.9911,0.811
25,6,0.8631,0.3365
25,7,-0.0,0.0
25,8,-0.0,0.0
26,0,2.0,1.3863
26,1,1.4355,1.5042
26,2,1.5774,1.0297
26,3,1.5774,1.0297
26,4,1.5774,1.0297
26,5,0.6501,0.1824
