dialogue_id,intra_dialogue_id,entropy,cross_entropy
0,0,2.2464,1.6094
0,1,2.1809,1.4351
0,2,2.3166,1.5688
0,3,2.1645,1.3348
0,4,0.6501,1.7916
0,5,0.9544,0.9808
0,6,0.9852,0.8472
0,7,-0.0,0.0
0,8,-0.0,0.0
1,0,2.124,2.1973
1,1,2.1805,1.6094
1,2,2.3219,1.6094
1,3,2.1715,1.2809
2,0,-0.0,36.0437
2,1,-0.0,36.0437
2,2,-0.0,36.0437
2,3,-1.0,36.0437
2,4,-1.0,36.0437
2,5,-1.0,36.0437
3,0,3.0,2.0794
3,1,2.0,1.3863
3,2,1.2988,2.0794
3,3,1.0,0.6931
3,4,0.9911,0.5877
3,5,-0.0,0.0
4,0,2.0,1.3863
4,1,1.5546,1.0987
4,2,1.3486,0.7886
4,3,0.8631,0.3365
4,4,-0.0,0.0
5,0,2.0,1.3863
5,1,1.4355,0.5877
5,2,-0.0,0.0
6,0,2.0,1.3863
6,1,1.5774,1.2528
6,2,1.5486,0.9556
6,3,0.9544,0.47
7,0,2.0,1.3863
7,1,2.0,1.3863
7,2,1.0,0.6931
7,3,-0.0,0.0
8,0,2.0,1.3863
8,1,2.0,1.3863
8,2,1.9938,1.3348
8,3,1.0,0.6931
9,0,1.0,36.0437
9,1,0.9911,36.0437
9,2,0.6501,36.0437
9,3,0.9544,36.0437
9,4,0.9911,36.0437
9,5,0.9544,36.0437
9,6,0.6501,36.0437
10,0,1.5,36.0437
10,1,1.5486,36.0437
10,2,1.1489,36.0437
10,3,0.6501,36.0437
10,4,1.0,36.0437
11,0,1.5849,1.0987
11,1,0.9911,0.811
11,2,0.7219,1.6094
11,3,1.0,0.6931
11,4,1.0,0.6931
11,5,-0.0,0.0
12,0,2.0,1.3863
12,1,2.0,1.3863
12,2,1.9219,1.6094
12,3,-0.0,0.0
12,4,-0.0,0.0
13,0,2.0,1.3863
13,1,1.5219,0.9163
13,2,-0.0,0.0
14,0,-1.0,36.0437
14,1,-1.0,36.0437
14,2,-1.0,36.0437
14,3,-1.0,36.0437
15,0,-0.0,36.0437
15,1,-1.0,36.0437
15,2,-1.0,36.0437
15,3,-1.0,36.0437
16,0,-0.0,36.0437
16,1,-0.0,36.0437
16,2,-0.0,36.0437
16,3,-1.0,36.0437
17,0,2.3219,1.6094
17,1,2.2045,1.3348
17,2,1.5395,0.7886
17,3,-0.0,0.0
18,0,1.371,36.0437
18,1,-1.0,36.0437
18,2,-1.0,36.0437
18,3,-1.0,36.0437
18,4,-1.0,36.0437
18,5,-1.0,36.0437
18,6,-1.0,36.0437
18,7,-1.0,36.0437
18,8,-1.0,36.0437
19,0,2.0,1.3863
19,1,0.9183,36.0437
19,2,1.0,36.0437
19,3,0.7219,36.0437
19,4,0.8113,36.0437
19,5,0.6501,36.0437
19,6,-1.0,36.0437
20,0,2.0,1.3863
20,1,2.0,1.3863
20,2,1.5849,1.0987
20,3,1.5849,1.0987
20,4,-0.0,0.0
21,0,1.5,36.0437
21,1,-0.0,36.0437
21,2,-0.0,36.0437
21,3,-0.0,36.0437
21,4,-0.0,36.0437
21,5,-0.0,36.0437
22,0,2.0,1.3863
22,1,2.0,1.3863
22,2,1.0,0.6931
22,3,-0.0,0.0
23,0,2.1645,1.3348
23,1,0.9183,36.0437
23,2,-1.0,36.0437
24,0,-0.0,36.0437
24,1,-1.0,36.0437
24,2,-1.0,36.0437
24,3,-1.0,36.0437
24,4,-1.0,36.0437
25,0,-0.0,36.0437
25,1,-1.0,36.0437
25,2,-1.0,36.0437
25,3,-1.0,36.0437
25,4,-1.0,36.0437
25,5,-1.0,36.0437
25,6,-1.0,36.0437
25,7,-1.0,36.0437
26,0,2.0,1.3863
26,1,2.0,1.3863
26,2,1.5566,1.2528
26,3,1.5774,1.0297
26,4,1.4834,0.8754
26,5,-0.0,0.0
27,0,2.0,1.3863
27,1,-0.0,36.0437
27,2,-1.0,36.0437
28,0,-0.0,36.0437
28,1,-0.0,36.0437
28,2,-0.0,36.0437
