dialogue_id,intra_dialogue_id,entropy
0,0,1.921
0,1,2.0
0,2,1.5849
0,3,1.5849
0,4,1.4834
0,5,1.1489
1,0,2.9965
1,1,2.124
1,2,1.4834
1,3,1.2988
2,0,1.9938
2,1,1.5849
2,2,1.0
2,3,1.0
2,4,1.0
2,5,0.6501
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,2.0
3,1,1.5849
3,2,1.0
3,3,-0.0
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,-0.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,1.0
5,3,-0.0
6,0,2.0
6,1,1.0
6,2,0.9544
6,3,0.9544
6,4,1.0
6,5,0.8631
6,6,1.0
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
7,0,2.0
7,1,1.9709
7,2,1.0
7,3,0.9911
7,4,0.6501
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,1.0
8,3,-0.0
8,4,-0.0
9,0,2.0
9,1,2.0
9,2,0.9911
9,3,1.0
9,4,0.9911
9,5,1.0
9,6,1.0
9,7,0.9911
9,8,1.0
9,9,1.0
9,10,0.9544
9,11,0.8631
9,12,-0.0
10,0,2.1809
10,1,2.0
10,2,1.361
10,3,0.9911
10,4,0.9911
10,5,0.8631
10,6,0.6501
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,-0.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
11,0,2.0
11,1,2.0
11,2,1.4834
11,3,1.0
11,4,0.9911
11,5,1.0
11,6,-0.0
11,7,-0.0
11,8,-0.0
11,9,-0.0
12,0,2.0
12,1,1.9709
12,2,1.8632
12,3,1.8842
12,4,1.4949
12,5,1.5849
13,0,2.2577
13,1,2.3166
13,2,1.5305
13,3,1.2517
13,4,0.7219
13,5,0.9544
13,6,0.9183
13,7,0.8631
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,-0.0
14,4,-0.0
15,0,2.0
15,1,1.0
15,2,1.0
15,3,0.9911
15,4,1.0
15,5,0.9911
16,0,2.0
16,1,2.0
16,2,1.9938
16,3,1.3486
16,4,0.8113
16,5,1.0
16,6,0.7219
17,0,3.0
17,1,2.0
17,2,1.9238
17,3,1.5849
17,4,0.9544
17,5,-0.0
17,6,-0.0
18,0,1.0
18,1,1.0
18,2,0.9911
18,3,1.0
18,4,0.9911
18,5,1.0
18,6,0.6501
18,7,1.0
19,0,1.8232
19,1,1.5849
19,2,1.0
19,3,0.971
19,4,-0.0
19,5,-0.0
19,6,0
20,0,1.5849
20,1,1.4834
20,2,-0.0
20,3,-0.0
20,4,-0.0
20,5,-0.0
20,6,-0.0
20,7,-0.0
21,0,2.0
21,1,2.0
21,2,1.9938
21,3,-0.0
21,4,0
21,5,0
21,6,0
22,0,2.0
22,1,2.0
22,2,1.921
22,3,0.9852
22,4,-0.0
22,5,-0.0
22,6,-0.0
23,0,2.0
23,1,2.0
23,2,1.8091
23,3,1.4834
23,4,1.5849
23,5,1.3486
23,6,1.0
23,7,0.9911
23,8,-0.0
23,9,-0.0
23,10,-0.0
24,0,1.5849
24,1,1.4834
24,2,1.0
24,3,0.8631
24,4,0.9183
24,5,1.0
24,6,0.9911
24,7,-0.0
24,8,-0.0
24,9,0
25,0,1.5849
25,1,1.5849
25,2,1.3486
25,3,0.9852
25,4,1.0
25,5,-0.0
25,6,-0.0
25,7,-0.0
25,8,-0.0
26,0,2.0
26,1,1.0
26,2,0.9544
26,3,-0.0
26,4,-0.0
26,5,-0.0
26,6,-0.0
26,7,-0.0
27,0,2.0
27,1,2.0
27,2,2.0
27,3,0.9911
27,4,0.9544
27,5,0.9544
27,6,0.6501
27,7,0.9183
27,8,-0.0
27,9,-0.0
27,10,0
27,11,0
28,0,2.8037
28,1,2.0
28,2,1.6647
28,3,1.3516
28,4,1.5395
29,0,2.0
29,1,1.0
29,2,0.6501
30,0,2.0
30,1,2.0
30,2,1.1489
30,3,1.1489
31,0,2.0
31,1,1.8232
31,2,1.5849
31,3,1.0
31,4,-0.0
32,0,2.0
32,1,1.0
32,2,1.0
32,3,1.0
32,4,0.8631
32,5,-0.0
33,0,2.0
33,1,2.0
33,2,1.4834
33,3,0.6501
33,4,0.8631
33,5,0.9911
33,6,0.6501
33,7,0.971
34,0,2.0
34,1,1.0
34,2,1.0
34,3,0.8631
34,4,0.9544
34,5,0.6501
34,6,-0.0
34,7,-0.0
