dialogue_id,intra_dialogue_id,entropy
0,0,2.3219
0,1,1.921
0,2,1.7604
0,3,1.6499
0,4,1.8585
0,5,1.9928
0,6,1.8585
0,7,1.5488
0,8,1.5488
1,0,2.0
1,1,1.9938
1,2,2.0
1,3,1.8585
2,0,2.0
2,1,1.5849
2,2,1.4949
2,3,1.4949
2,4,1.5766
2,5,1.5395
3,0,3.0
3,1,2.0
3,2,1.921
3,3,1.9544
3,4,1.9592
3,5,1.9592
4,0,2.0
4,1,1.5849
4,2,1.0
4,3,0.6501
4,4,0.6501
5,0,2.0
5,1,1.5849
5,2,-0.0
6,0,2.0
6,1,1.5849
6,2,1.0
6,3,-0.0
7,0,2.0
7,1,2.0
7,2,1.0
7,3,0.9544
8,0,2.0
8,1,1.9938
8,2,1.3486
8,3,-0.0
9,0,2.0
9,1,2.0
9,2,1.5849
9,3,1.4855
9,4,1.5774
9,5,1.571
9,6,1.1489
10,0,2.0
10,1,1.5849
10,2,1.0
10,3,-0.0
10,4,-0.0
11,0,2.0
11,1,1.9709
11,2,1.0
11,3,1.0
11,4,-0.0
11,5,-0.0
12,0,2.0
12,1,1.5849
12,2,-0.0
12,3,0
12,4,0
13,0,2.0
13,1,1.5849
13,2,-0.0
14,0,2.0
14,1,2.0
14,2,1.921
14,3,-0.0
15,0,2.0
15,1,1.5849
15,2,1.4834
15,3,-0.0
16,0,2.0
16,1,2.0
16,2,1.5774
16,3,-0.0
17,0,2.0
17,1,1.9911
17,2,0.9911
17,3,0.8631
18,0,2.5852
18,1,2.0
18,2,1.9938
18,3,1.5774
18,4,1.5486
18,5,0.9544
18,6,0
18,7,0
18,8,0
19,0,2.0
19,1,1.0
19,2,-0.0
19,3,-0.0
19,4,-0.0
19,5,-0.0
19,6,0
20,0,2.0
20,1,2.0
20,2,1.6499
20,3,1.9592
20,4,2.0
21,0,2.0
21,1,2.0
21,2,1.5849
21,3,-0.0
21,4,-0.0
21,5,-0.0
22,0,2.0
22,1,2.0
22,2,1.0
22,3,0.9544
23,0,2.0
23,1,1.5849
23,2,-0.0
24,0,2.0
24,1,2.0
24,2,1.9544
24,3,1.1489
24,4,-0.0
25,0,2.0
25,1,2.0
25,2,1.9238
25,3,1.0
25,4,0.6501
25,5,0.6501
25,6,-0.0
25,7,-0.0
26,0,2.0
26,1,1.9709
26,2,1.0
26,3,-0.0
26,4,-0.0
26,5,-0.0
27,0,2.0
27,1,1.5849
27,2,-0.0
28,0,2.0
28,1,2.0
28,2,1.9592
28,3,-0.0
29,0,2.0
29,1,2.0
29,2,-0.0
30,0,2.0
30,1,1.5849
30,2,1.3486
30,3,-0.0
30,4,-0.0
31,0,2.0
31,1,1.5849
31,2,1.4834
31,3,-0.0
32,0,2.0
32,1,1.5849
32,2,1.1489
33,0,2.0
33,1,1.9938
33,2,1.0
33,3,1.0
33,4,-0.0
34,0,2.0
34,1,1.9709
34,2,1.5849
34,3,-0.0
35,0,2.0
35,1,2.0
35,2,0.6501
35,3,1.0
35,4,-0.0
35,5,-0.0
36,0,2.0
36,1,1.4834
36,2,1.5395
36,3,-0.0
36,4,-0.0
36,5,0
37,0,2.0
37,1,2.0
37,2,0.9911
37,3,-0.0
38,0,2.0
38,1,2.0
38,2,1.9928
39,0,2.0
39,1,1.0
39,2,-0.0
39,3,-0.0
39,4,-0.0
40,0,2.0
40,1,1.8585
40,2,1.9592
40,3,2.0
40,4,-0.0
40,5,-0.0
41,0,2.0
41,1,0.8631
41,2,-0.0
41,3,-0.0
42,0,2.0
42,1,1.5849
42,2,1.0
42,3,-0.0
43,0,2.0
43,1,1.0
43,2,0.8631
43,3,-0.0
43,4,-0.0
44,0,2.0
44,1,2.0
44,2,1.0
44,3,1.0
44,4,1.0
44,5,0.9544
44,6,-0.0
45,0,2.2577
45,1,-0.0
45,2,-0.0
45,3,-0.0
46,0,2.0
46,1,1.5849
46,2,1.3486
46,3,1.1489
46,4,1.4355
47,0,2.0
47,1,-0.0
48,0,2.0
48,1,1.5849
48,2,1.4834
48,3,-0.0
49,0,2.0
49,1,1.5849
49,2,1.1489
50,0,2.0
50,1,-0.0
51,0,2.0
51,1,1.5849
51,2,-0.0
52,0,2.0
52,1,1.0
52,2,-0.0
53,0,2.0
53,1,1.5849
53,2,1.1489
53,3,1.5849
54,0,2.0
54,1,1.5774
54,2,1.5395
54,3,1.5395
54,4,1.1489
55,0,2.1809
55,1,2.0
55,2,0.8631
55,3,-0.0
56,0,2.0
56,1,2.0
56,2,-0.0
56,3,-0.0
56,4,-0.0
57,0,2.0
57,1,1.5849
57,2,-0.0
58,0,2.0
58,1,1.9938
58,2,1.8585
58,3,-0.0
58,4,-0.0
59,0,2.0
59,1,1.5849
59,2,1.5766
59,3,0.9544
59,4,0.6501
60,0,2.0
60,1,0.6501
60,2,0.9911
60,3,0.9911
61,0,2.0
61,1,2.0
61,2,1.5849
61,3,1.5849
61,4,1.0
61,5,1.0
61,6,0.6501
62,0,2.0
62,1,-0.0
62,2,-0.0
62,3,0
62,4,0
63,0,2.0
63,1,1.5849
63,2,1.5486
63,3,0.7219
63,4,0.8631
63,5,0.9911
63,6,0.6501
64,0,2.0
64,1,-0.0
65,0,2.0
65,1,1.0
65,2,-0.0
65,3,-0.0
65,4,0
65,5,0
66,0,2.0
66,1,1.9938
66,2,1.0
66,3,0.9911
66,4,0.9911
66,5,-0.0
66,6,-0.0
67,0,2.0
67,1,2.0
67,2,1.9709
67,3,-0.0
67,4,-0.0
68,0,2.0
68,1,2.0
68,2,0.9911
68,3,-0.0
69,0,2.0
69,1,1.9709
69,2,-0.0
70,0,2.0
70,1,1.8257
70,2,-0.0
70,3,-0.0
70,4,-0.0
71,0,2.0
71,1,2.0
71,2,1.5849
71,3,-0.0
72,0,2.0
72,1,1.0
72,2,-0.0
72,3,-0.0
73,0,2.0
73,1,2.0
73,2,1.0
73,3,0
73,4,0
74,0,2.2977
74,1,1.6499
74,2,1.0
74,3,1.0
74,4,1.0
74,5,1.0
74,6,1.0
74,7,1.0
74,8,1.0
74,9,1.0
74,10,1.0
74,11,1.0
75,0,2.0
75,1,1.6647
75,2,0
75,3,0
75,4,0
75,5,0
76,0,2.0
76,1,0
76,2,0
76,3,0
76,4,0
76,5,0
77,0,2.0
77,1,1.0
77,2,0.9544
77,3,-0.0
77,4,0
77,5,0
78,0,2.0
78,1,1.5849
78,2,-0.0
79,0,2.0
79,1,1.3516
79,2,0.9911
79,3,-0.0
79,4,-0.0
79,5,-0.0
79,6,0
79,7,0
79,8,0
80,0,2.0
80,1,1.5849
80,2,1.0
80,3,0.9544
81,0,2.3219
81,1,2.0
81,2,1.5849
81,3,1.5849
81,4,1.5774
81,5,1.4355
81,6,1.5766
82,0,2.8078
82,1,2.5852
82,2,2.5625
82,3,2.3489
82,4,-0.0
83,0,2.0
83,1,0
83,2,0
83,3,0
83,4,0
84,0,2.0
84,1,1.0
84,2,0.8631
84,3,0.6501
85,0,2.0
85,1,1.3486
85,2,0.9544
85,3,0.9911
85,4,0.6501
86,0,2.0
86,1,1.5849
86,2,1.0
86,3,0.6501
86,4,0.6501
87,0,2.0
87,1,2.0
87,2,0.6501
87,3,-0.0
88,0,2.0
88,1,1.9709
88,2,1.5849
88,3,1.0
88,4,0.6501
88,5,-0.0
88,6,-0.0
89,0,2.0
89,1,2.0
89,2,0.8631
89,3,-0.0
89,4,-0.0
