dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.5849
0,3,-0.0
0,4,-0.0
0,5,-0.0
1,0,3.0
1,1,2.5852
1,2,2.0
1,3,1.0
2,0,2.0
2,1,2.0
2,2,1.0
2,3,1.0
2,4,-0.0
2,5,-0.0
2,6,-0.0
2,7,-0.0
2,8,-0.0
2,9,-0.0
2,10,-0.0
3,0,2.0
3,1,2.0
3,2,1.5849
3,3,-0.0
4,0,2.0
4,1,1.5849
4,2,1.5774
4,3,1.0
4,4,-0.0
5,0,2.0
5,1,1.5849
5,2,1.0
5,3,-0.0
,,
11,0,2.0
11,1,1.8232
11,2,0.6501
11,3,1.0
11,4,-0.0
11,5,-0.0
11,6,0
11,7,0
11,8,0
11,9,0
12,0,2.0
12,1,2.0
12,2,1.5849
12,3,1.0
12,4,-0.0
12,5,-0.0
13,0,2.0
13,1,1.5849
13,2,1.5849
13,3,1.5849
13,4,-0.0
13,5,-0.0
13,6,-0.0
13,7,0
13,8,0
13,9,0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,1.0
14,4,-0.0
15,0,2.0
15,1,1.5774
15,2,-0.0
15,3,-0.0
15,4,-0.0
15,5,-0.0
16,0,2.0
16,1,2.0
16,2,1.3486
16,3,1.5849
16,4,1.5849
16,5,1.5849
16,6,-0.0
17,0,2.0
17,1,1.5849
17,2,1.3486
17,3,1.5849
17,4,1.5849
17,5,1.5849
17,6,-0.0
18,0,2.0
18,1,2.0
18,2,-0.0
18,3,-0.0
18,4,-0.0
18,5,-0.0
18,6,0
18,7,0
19,0,2.0
19,1,1.0
19,2,1.0
19,3,0
19,4,0
19,5,0
19,6,0
20,0,2.0
20,1,1.0
20,2,-0.0
20,3,-0.0
20,4,-0.0
20,5,-0.0
20,6,-0.0
,,
21,0,2.0
21,1,2.0
21,2,1.5849
21,3,1.3486
21,4,1.5849
21,5,1.5486
21,6,-0.0
22,0,2.0
22,1,2.0
22,2,1.5849
22,3,1.5849
22,4,1.0
22,5,1.0
22,6,-0.0
23,0,2.0
23,1,1.8232
23,2,1.5849
23,3,1.5849
23,4,1.5849
23,5,-0.0
23,6,-0.0
23,7,-0.0
23,8,-0.0
23,9,-0.0
23,10,-0.0
24,0,2.0
24,1,2.0
24,2,1.5849
24,3,1.0
24,4,1.0
24,5,0.9911
24,6,1.0
24,7,1.0
24,8,-0.0
24,9,-0.0
25,0,2.0
25,1,2.0
25,2,1.0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
26,0,2.0
26,1,1.5849
26,2,1.5849
26,3,-0.0
26,4,-0.0
26,5,-0.0
26,6,-0.0
26,7,-0.0
27,0,2.1809
27,1,1.5849
27,2,1.5849
27,3,1.0
27,4,1.0
27,5,0.6501
27,6,1.0
27,7,-0.0
27,8,0
27,9,0
27,10,0
27,11,0
28,0,2.7603
