dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.5849
0,3,1.4855
0,4,2.1645
0,5,0.8631
1,0,3.0
1,1,2.5852
1,2,2.0
1,3,1.0
2,0,2.0
2,1,2.0
2,2,2.5852
2,3,2.0
2,4,2.0
2,5,1.5849
2,6,2.8078
2,7,2.8078
2,8,2.8078
2,9,2.8078
2,10,-0.0
3,0,2.0
3,1,3.0
3,2,2.5803
3,3,-0.0
4,0,2.0
4,1,1.5849
4,2,2.9965
4,3,2.8078
4,4,-0.0
5,0,2.0
5,1,2.8078
5,2,2.5852
5,3,-0.0
6,1,1.0
6,0,2.0
6,1,1.0
6,0,2.0
6,1,1.0
,,
11,0,2.0
11,1,1.8232
11,2,0.6501
11,3,1.0
11,4,-0.0
11,5,-0.0
11,6,-0.0
11,7,1.6577
11,8,0.9911
11,9,-0.0
12,0,2.0
12,1,2.0
12,2,2.8078
12,3,2.5852
12,4,2.8078
12,5,-0.0
13,0,2.0
13,1,1.5849
13,2,2.1809
13,3,2.0
13,4,1.0
13,5,2.1809
13,6,-0.0
13,7,1.9709
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,1.5849
14,4,-0.0
15,0,2.0
15,1,1.5774
15,2,2.0059
15,3,2.3219
15,4,1.9938
15,5,1.0
16,0,2.0
16,1,2.0
16,2,1.3486
16,3,2.0
16,4,3.0
16,5,3.0
16,6,-0.0
17,0,2.0
17,1,2.0
17,2,1.8232
17,3,2.1809
17,4,3.0
17,5,3.0
17,6,-0.0
18,0,2.0
18,1,2.0
18,2,-0.0
18,3,2.8078
18,4,0.9911
18,5,2.1805
18,6,2.8078
18,7,-0.0
19,0,2.0
19,1,2.531
19,2,2.0
19,3,1.5849
19,4,-0.0
19,5,1.5849
19,6,-0.0
20,0,2.0
20,1,2.4663
20,2,2.5852
20,3,-0.0
20,4,1.5849
20,5,2.0
20,6,-0.0
,,
21,0,2.0
21,1,2.0
21,2,1.921
21,3,2.0386
21,4,1.8232
21,5,1.9086
21,6,-0.0
22,0,2.0
22,1,2.0
22,2,2.1805
22,3,2.0
22,4,1.0
22,5,1.5849
22,6,-0.0
23,0,2.0
23,1,1.8232
23,2,2.0
23,3,1.5849
23,4,2.0
23,5,2.1837
23,6,1.8232
23,7,1.3486
23,8,2.0
23,9,2.8078
23,10,-0.0
24,0,2.0
24,1,2.0
24,2,1.5849
24,3,2.7074
24,4,1.0
24,5,2.5803
24,6,2.9965
24,7,1.0
24,8,-0.0
24,9,-0.0
25,0,2.0
25,1,2.0
25,2,1.0
25,3,1.921
25,4,1.5849
25,5,1.5849
25,6,2.0
25,7,0.6501
25,8,-0.0
26,0,2.0
26,1,2.7074
26,2,2.0
26,3,1.8232
26,4,1.5849
26,5,2.3166
26,6,1.0
26,7,0.6501
27,0,2.1809
