dialogue_id,intra_dialogue_id,entropy
0,0,2.0
0,1,2.0
0,2,1.921
0,3,1.4651
0,4,1.7412
0,5,0.6501
2,0,2.0
2,1,2.0
2,2,2.0
2,3,1.7396
2,4,0.9183
2,5,-0.0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,2.2977
3,1,1.5849
3,2,1.5849
3,3,0.4395
4,0,2.0
4,1,1.9849
4,2,1.8787
4,3,1.8803
4,4,1.688
5,0,2.0
5,1,1.8803
5,2,1.9938
5,3,0.4395
6,0,2.0
6,1,1.0
6,2,0.6501
6,3,0.9774
6,4,0.998
6,5,0.8813
6,6,0.9183
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
11,0,1.9986
11,1,2.0
11,2,1.519
11,3,1.579
11,4,1.5774
11,5,1.3566
11,6,0.998
11,7,0.9911
11,8,1.0
11,9,0.6501
12,0,2.0
12,1,2.0
12,2,1.8803
12,3,0.9774
12,4,-0.0
12,5,-0.0
13,0,2.0
13,1,1.5849
13,2,1.5849
13,3,1.5849
13,4,1.0
13,5,0.9911
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,-0.0
14,4,-0.0
15,0,2.2257
15,1,1.5849
15,2,1.5849
15,3,1.5849
15,4,1.5849
15,5,1.2345
16,0,2.0
16,1,2.0
16,2,2.0
16,3,1.9656
16,4,1.8091
16,5,1.5546
16,6,1.2345
17,0,2.4608
17,1,2.7772
17,2,2.4008
17,3,2.4402
17,4,2.6362
17,5,2.0721
17,6,1.8449
18,0,2.0
18,1,2.0
18,2,0.9183
18,3,1.0
18,4,0.9911
18,5,1.0
18,6,0.998
18,7,0.9183
19,0,2.0
19,1,1.3486
19,2,1.579
19,3,1.5849
19,4,1.2363
19,5,1.5697
19,6,0.7794
20,0,2.0
20,1,1.5664
20,2,1.3566
20,3,0.7794
20,4,0.9774
20,5,0.7794
20,6,-0.0
20,7,-0.0
21,0,2.0
21,1,1.9986
21,2,1.5774
21,3,1.5832
21,4,1.0
21,5,0.998
21,6,-0.0
22,0,2.0
22,1,2.0
22,2,2.0
22,3,1.8232
22,4,1.8803
22,5,1.8232
22,6,0.4395
23,0,2.1809
23,1,2.1809
23,2,2.1039
23,3,2.2608
23,4,1.9503
23,5,1.9259
23,6,1.8585
23,7,1.5546
23,8,0.9912
23,9,1.4153
23,10,0.9183
24,0,2.0
24,1,2.0
24,2,1.5849
24,3,1.519
24,4,0.6501
24,5,-0.0
24,6,-0.0
24,7,-0.0
24,8,-0.0
24,9,-0.0
25,0,2.0
25,1,2.0
25,2,1.5774
25,3,0.5032
25,4,0.8905
25,5,0.9887
25,6,0.4395
25,7,0
25,8,0
26,0,2.0
26,1,1.9941
26,2,2.0
26,3,1.9709
26,4,1.9529
26,5,1.8421
26,6,1.8782
