dialogue_id,intra_dialogue_id,entropy
0,0,1.9997
0,1,2.0
0,2,1.9709
0,3,1.6729
0,4,1.6791
0,5,0.6501
1,0,3.0
1,1,2.9394
1,2,2.7708
1,3,1.1411
2,0,2.0
2,1,2.0
2,2,1.9986
2,3,1.6806
2,4,1.3446
2,5,0.6098
2,6,0.5032
2,7,0.9544
2,8,0.9494
2,9,0.9968
2,10,0
3,0,2.071
3,1,1.5845
3,2,1.5726
3,3,-0.0
4,0,2.0
4,1,1.9899
4,2,1.9001
4,3,1.8901
4,4,1.5636
5,0,2.0
5,1,1.8542
5,2,1.9899
5,3,1.35
6,0,2.0
6,1,1.0
6,2,0.2761
6,3,0.9911
6,4,0.9911
6,5,0.9544
6,6,0.9383
6,7,-0.0
6,8,-0.0
6,9,-0.0
6,10,-0.0
7,0,2.0
7,1,1.9519
7,2,1.0
7,3,0.9978
7,4,1.0
7,5,-0.0
7,6,-0.0
7,7,-0.0
8,0,2.0
8,1,2.0
8,2,2.0
8,3,1.531
8,4,-0.0
9,0,1.9798
9,1,2.0
9,2,1.9849
9,3,1.8787
9,4,1.3922
9,5,1.5845
9,6,1.5809
9,7,1.5832
9,8,1.4876
9,9,1.0
9,10,1.0
9,11,0.9995
9,12,0.9383
10,0,2.0
10,1,2.0
10,2,1.5845
10,3,1.5849
10,4,1.0
10,5,1.0
10,6,1.0
10,7,1.0
10,8,0.9995
10,9,1.0
10,10,0.9774
10,11,1.0
10,12,-0.0
10,13,-0.0
11,0,1.9849
11,1,2.0
11,2,1.7291
11,3,1.9054
11,4,1.7369
11,5,1.6175
11,6,1.1411
11,7,1.4949
11,8,1.4366
11,9,0.8257
12,0,2.0
12,1,2.0
12,2,1.9849
12,3,1.141
12,4,0.9366
12,5,0.2761
13,0,2.0
13,1,1.5849
13,2,1.5849
13,3,1.5849
13,4,1.0
13,5,0.9953
13,6,-0.0
13,7,-0.0
13,8,-0.0
13,9,-0.0
14,0,2.0
14,1,1.0
14,2,1.0
14,3,0.7642
14,4,0.4395
15,0,2.2257
15,1,1.5849
15,2,1.5849
15,3,1.5849
15,4,1.5849
15,5,1.1411
16,0,1.998
16,1,2.0
16,2,2.0
16,3,1.9854
16,4,1.7955
16,5,1.4759
16,6,1.353
17,0,2.5441
17,1,2.748
17,2,2.2698
17,3,2.1805
17,4,2.0366
17,5,1.2955
17,6,0.6785
18,0,2.0
18,1,2.0
18,2,1.4573
18,3,1.5849
18,4,1.5486
18,5,1.5849
18,6,0.9887
18,7,0.4395
19,0,2.0
19,1,1.0
19,2,0.9183
19,3,0.9995
19,4,0.9995
19,5,1.0
19,6,-0.0
20,0,2.0
